Label,Region,See_Also,Comments,NewRef_ID_NO,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_13,Map_14,Map_12
Qulzum,,Klysma,,334,syriaca.org/place/4132,,,,,5,,,,,,,,,
"Fayyum, Lake",,,,335,syriaca.org/place/4134,,,,,5,,,,,,,,,
Leontopolis,,,,336,syriaca.org/place/4135,,,,,5,,,,,,,,,
Mansura,,,,337,syriaca.org/place/4136,,,,,5,,,,,,,,,
Mar Saba,,,,338,syriaca.org/place/4137,,,,,5,,,,,,,,,
Memphis,,,,339,syriaca.org/place/4138,,,,,5,,,,,,,,,
Nablus,,"Neapolis, Shechem",,345,syriaca.org/place/4139,,,,,5,,,,,,,,,
Neapolis,,"Nablus, Shechem",,345,syriaca.org/place/4139,,,,,5,,,,,,,,,
Shechem,,"Nablus, Neapolis",,345,syriaca.org/place/4139,,,,,5,,,,,,,,,
Sinai Peninsula,,,,346,syriaca.org/place/4142,,,,,5,,,,,,,,,
Aden,,,,347,syriaca.org/place/4143,,,,,,6,,,,,,,,
Adulis,,Zula,,348,syriaca.org/place/4144,,,,,,6,,,,,,,,
Zula,,Adulis,,348,syriaca.org/place/4144,,,,,,6,,,,,,,,
Aksum,,,,349,syriaca.org/place/4146,,,,,,6,,,,,,,,
al-Ḥijr,,Madaʾin Ṣaliḥ,change alpha,350,syriaca.org/place/4147,,,,,,6,,,,,,,,
Madaʾin Ṣaliḥ,,al-Ḥijr,,350,syriaca.org/place/4147,,,,,,6,,,,,,,,
Bay of Aden,,,,351,syriaca.org/place/4149,,,,,,6,,,,,,,,
Dayirin,,Tarut,,352,syriaca.org/place/4150,,,,,,6,,,9,,,,,
Tarut,,Dayirin,,352,syriaca.org/place/4150,,,,,,6,,,9,,,,,
Ẓufar,,,,353,syriaca.org/place/4152,,,,,,6,,,,,,,,
Faras,,,,354,syriaca.org/place/4153,,,,,,6,,,,,,,,
Qaṣr Ibrim,,,,354,syriaca.org/place/4153,,,,,,6,,,,,,,,
Hagar,,,,355,syriaca.org/place/4155,,,,,,6,,,,,,,,
al-Qaṭif,,Ḥaṭṭa,change alpha,356,syriaca.org/place/4156,,,,,,6,,,9,,,,,
Ḥaṭṭa,,al-Qaṭif,,356,syriaca.org/place/4156,,,,,,6,,,9,,,,,
Hormuz,,,,357,syriaca.org/place/4158,,,,,,6,,,9,,,,,
Indian Ocean,Y,,,358,syriaca.org/place/4159,,,,,,6,,,,,,13,,12
Kharg Island,,,,359,syriaca.org/place/4160,,,,,,6,,,9,,,,,
Khartoum,,,,360,syriaca.org/place/4161,,,,,,6,,,,,,,,
Mashmahig,,Samahij,,361,syriaca.org/place/4162,,,,,,6,,,,,,,,
Samahij,,Mashmahig,,361,syriaca.org/place/4162,,,,,,6,,,,,,,,
Ṣuḥar,,,,362,syriaca.org/place/4164,,,,,,6,,,,,,,,
Mecca,,,,363,syriaca.org/place/4165,,,,,,6,,,,,,,,
Medina,,,,364,syriaca.org/place/4166,,,,,,6,,,,,,,,
Meroë,,,,365,syriaca.org/place/4167,,,,,,6,,,,,,,,
(Old) Dongola,,,Alphabetize under 'D',367,syriaca.org/place/4168,,,,,,6,,,,,,,,
Akhmim,,Panopolis,,368,syriaca.org/place/4169,,,,,,6,,,,,,,,
Panopolis,,Akhmim,,368,syriaca.org/place/4169,,,,,,6,,,,,,,,
Cane Emporium,,Qanaʾ,,370,syriaca.org/place/4171,,,,,,6,,,,,,,,
Qanaʾ,,Cane Emporium,,370,syriaca.org/place/4171,,,,,,6,,,,,,,,
Rev Ardashir,,,,372,syriaca.org/place/4173,,,,,,6,,,9,,,,,
Riyadh,,,,373,syriaca.org/place/4174,,,,,,6,,,,,,,,
Ṣanʿaʾ,,,,374,syriaca.org/place/4175,,,,,,6,,,,,,,,
Siraf,,,,375,syriaca.org/place/4176,,,,,,6,,,9,,,,,
Soba,,,,376,syriaca.org/place/4177,,,,,,6,,,,,,,,
Aswan,,Syene,,378,syriaca.org/place/4178,,,,,,6,,,,,,,,
Syene,,Aswan,,378,syriaca.org/place/4178,,,,,,6,,,,,,,,
Tabuk,,,,379,syriaca.org/place/4180,,,,,,6,,,,,,,,
Taymaʾ,,,,380,syriaca.org/place/4181,,,,,,6,,,,,,,,
Thebes,,,,381,syriaca.org/place/4182,,,,,,6,,,,,,,,
Balikh River,,,,386,syriaca.org/place/4183,,,,,,,7,,,,,,,
Bazyan,,,,388,syriaca.org/place/4184,,,,,,,7,,,,,,,
Bokan,,,,390,syriaca.org/place/4185,,,,,,,7,,9,,,,,
Diyala River,,,,393,syriaca.org/place/4186,1,2,,,,,7,8,,,,,,
Gomel,,,,396,syriaca.org/place/4187,,,,,,,7,,,,,,14,
Ḥalabja,,,,398,syriaca.org/place/4188,,,,,,,7,8,,,,,,
Kamacha,,"Camacha, Kamakh",,400,syriaca.org/place/4014,,,,,,,7,,,,,,,
Kamakh,,"Camacha, Kamacha",211,400,syriaca.org/place/4014,,2,,,,,7,,,,,,,
Karka d-Piroz,,,,402,syriaca.org/place/4191,,,,,,,7,8,,,,,,
Kerend,,,,403,syriaca.org/place/4192,,,,,,,7,8,,,,,,
Mlaḥso,,,,408,syriaca.org/place/4193,,,,,,,7,,,,,,14,
Qaṣr-e Shirin,,,,412,syriaca.org/place/4194,,,,,,,7,8,,,,,,
Sablagh,,Mahabad,,413,syriaca.org/place/4195,,2,,,,,7,,,,,,,
Sainqala,,,,414,syriaca.org/place/4196,,,,,,,7,,9,,,,,
Siverek,,,,417,syriaca.org/place/4197,,,,,,,7,,,,,,,
Solduz,,,,418,syriaca.org/place/4198,,,,,,,7,,,,,,14,
Sura,,,,420,syriaca.org/place/4199,,,,,,,7,,,,,,,
Zagros Mountains,,,,422,syriaca.org/place/4200,,,,,,,7,8,,,,,,
al-Nil,,,change alpha,424,syriaca.org/place/4201,,,,,,,,8,,,,,,
al-Ṣaymara,,,change alpha,425,syriaca.org/place/4202,,2,,,,,,8,,,,,,
Bahman-Ardashir,,Prat d-Maishan,,428,syriaca.org/place/4203,,,,,,,,8,,,,,,
Prat d-Maishan,,Bahman-Ardashir,,428,syriaca.org/place/4203,1,,,,,,,8,,,,,,
Gilgird,,Malviran,,429,syriaca.org/place/4205,,,,,,,,8,,,,,,
Malviran,,Gilgird,,429,syriaca.org/place/4205,,,,,,,,8,,,,,,
Rudavar,,"Karaj, Kuj",,432,syriaca.org/place/4207,,,,,,,,8,,,,,,
Karun River,,,,435,syriaca.org/place/4208,,,,,,,,8,,,,,,
Maḥoza Ḥdatta,,"Rumiyya, Veh-Antiokh-e Khosrow",,436,syriaca.org/place/4209,,,,,,,,8,,,,,,
Rumiyya,,"Maḥoza Ḥdatta, Veh-Antiokh-e Khosrow",,436,syriaca.org/place/4209,1,,,,,,,8,,,,,,
Veh-Antiokh-e Khosrow,,"Maḥoza Ḥdatta, Rumiyya",,436,syriaca.org/place/4209,1,,,,,,,8,,,,,,
Masabadan,Y,,,438,syriaca.org/place/4212,,,,,,,,8,,,,,,
Nahargur,,ʿAbdasi,,439,syriaca.org/place/4213,,,,,,,,8,,,,,,
ʿAbdasi,,Nahargur,Realpha,439,syriaca.org/place/4213,,,,,,,,8,,,,,,
al-Nuʿmaniyya,,,change alpha,440,syriaca.org/place/4215,,,,,,,,8,,,,,,
Qaṣr Ibn Hubayra,,,,441,syriaca.org/place/4216,,,,,,,,8,,,,,,
Qum,,,,442,syriaca.org/place/4217,,,,,,,,8,9,,,,,
Ram-Hormizd,,,,444,syriaca.org/place/4218,,,,,,,,8,,,,,,
Zabe,Y,,,447,syriaca.org/place/4219,,,,,,,,8,,,,,,
Abr Shahr,,Nishapur,,448,syriaca.org/place/4220,,,,,,,,,9,10,,,,
Nishapur,,Abr Shahr,,448,syriaca.org/place/4220,,,,,,,,,9,10,,,,
Abivard,,,,449,syriaca.org/place/4222,,,,,,,,,9,,,,,
Amol,,,,450,syriaca.org/place/4223,,,,,,,,,9,,,,,
Amu Darya River,,Oxus River,,451,syriaca.org/place/4224,,,,,,,,,9,10,11,,,
Oxus River,,Amu Darya River,,451,syriaca.org/place/4224,,,,,,,,,9,10,11,,,
Aprah,,Farah,,452,syriaca.org/place/4226,,,,,,,,,9,10,,,,
Farah,,Aprah,,452,syriaca.org/place/4226,,,,,,,,,9,10,,,,
Astarabad,,,,454,syriaca.org/place/4228,,,,,,,,,9,,,,,
Bactria,Y,Tokharistan,,455,syriaca.org/place/4229,,,,,,,,,9,10,,,,
Tokharistan,Y,Bactria,,455,syriaca.org/place/4229,,,,,,,,,9,10,,,,
Badghis,Y,,,456,syriaca.org/place/4231,,,,,,,,,9,10,,,,
Balkh,,,,457,syriaca.org/place/4232,,,,,,,,,9,10,11,,,
Kirman,,Veh-Ardashir,Not http://syriaca.org/place/475,458,syriaca.org/place/4233,,,,,,,,,9,,,,,
Veh-Ardashir,,Kirman,,458,syriaca.org/place/4233,,,,,,,,,9,,,,,
Bishapur,,Veh-Shapur,,460,syriaca.org/place/4235,,,,,,,,,9,,,,,
Veh-Shapur,,Bishapur,,460,syriaca.org/place/4235,,,,,,,,,9,,,,,
Bost,,,,461,syriaca.org/place/4237,,,,,,,,,9,,,,,
Bukhara,,,,462,syriaca.org/place/4238,,,,,,,,,9,10,11,,,
Dailam,Y,,,463,syriaca.org/place/4239,1,2,,,,,,,9,,,,,
Darabgird,,,,464,syriaca.org/place/4240,,,,,,,,,9,,,,,
Dasht-e Kavir,,,,465,syriaca.org/place/4241,,,,,,,,,9,,,,,
Dasht-e Lut,,,,466,syriaca.org/place/4242,,,,,,,,,9,,,,,
Daybul,,,also 578,467,syriaca.org/place/4243,,,,,,,,,9,,11,,,
Ghazni,,,,470,syriaca.org/place/4244,,,,,,,,,9,10,,,,
Gor,,,,471,syriaca.org/place/4245,,,,,,,,,9,,,,,
(Old) Gurgan,,,Alphabetize under 'G',472,syriaca.org/place/4246,,,,,,,,,9,,,,,
Hari Rud,,,,473,syriaca.org/place/4247,,,,,,,,,9,10,,,,
Helmand River,,,,474,syriaca.org/place/4248,,,,,,,,,9,,,,,
Indus River,,,,477,syriaca.org/place/4249,,,,,,,,,9,10,11,,,
Iṣṭakhr,,,,479,syriaca.org/place/4250,,,,,,,,,9,,,,,
Kabul,,,,480,syriaca.org/place/4251,,,,,,,,,9,10,11,,,
Karachi,,,,481,syriaca.org/place/4252,,,,,,,,,9,,11,,,
Karaj,,"Kuj, Rudavar",,482,syriaca.org/place/4253,,,,,,,,8,9,,,,,
Kuj,,"Karaj, Rudavar",,482,syriaca.org/place/4253,,,,,,,,8,9,,,,,
Karakum Desert,,,,483,syriaca.org/place/4255,,,,,,,,,9,10,,,,
Kirman,Y,,,485,syriaca.org/place/4256,,,,,,,,,9,,,,,
Makran,Y,,,486,syriaca.org/place/4257,,,,,,,,,9,,,,,
Bala Murghab,,Merv al-Rud,,488,syriaca.org/place/4258,,,,,,,,,9,10,,,,
Merv al-Rud,,Bala Murghab,,488,syriaca.org/place/4258,,,,,,,,,9,10,,,,
Murghab River,,,,489,syriaca.org/place/4260,,,,,,,,,9,10,,,,
Fushanj,,"Ghurian, Pushang",,492,syriaca.org/place/4261,,,,,,,,,9,10,,,,
Ghurian,,"Fushanj, Pushang",,492,syriaca.org/place/4261,,,,,,,,,9,10,,,,
Pushang,,"Fushanj, Ghurian",,492,syriaca.org/place/4261,,,,,,,,,9,10,,,,
Qandahar,,,,493,syriaca.org/place/4264,,,,,,,,,9,,11,,,
Nakshab,,Qarshi,,494,syriaca.org/place/4265,,,,,,,,,9,10,,,,
Qarshi,,Nakshab,,494,syriaca.org/place/4265,,,,,,,,,9,10,,,,
Qash,,,,495,syriaca.org/place/4267,,,,,,,,,9,,,,,
Kashan,,Qashan,,496,syriaca.org/place/4268,,,,,,,,,9,,,,,
Qashan,,Kashan,,496,syriaca.org/place/4268,,,,,,,,,9,,,,,
Rasht,,,,498,syriaca.org/place/4270,,,,,,,,,9,,,,,
Shahr-e Piroz,,,,499,syriaca.org/place/4271,,,,,,,,,9,,,,,
Shiraz,,,,501,syriaca.org/place/4272,,,,,,,,,9,,,,,
Sogdiana,Y,Transoxiana,,504,syriaca.org/place/4273,,,,,,,,,9,10,,,,
Taleqan,,,,505,syriaca.org/place/4274,,,,,,,,,9,,,,,
Tehran,,,,506,syriaca.org/place/4275,,,,,,,,,9,,,,,
Ṭus,,,,507,syriaca.org/place/4276,,,,,,,,,9,10,,,,
Yazd,,,,509,syriaca.org/place/4277,,,,,,,,,9,,,,,
Zarang,,,,510,syriaca.org/place/4278,,,,,,,,,9,,,,,
Aq-Beshim,,Suyab,,512,syriaca.org/place/4279,,,,,,,,,,10,,,,
Suyab,,Aq-Beshim,,512,syriaca.org/place/4279,,,,,,,,,,10,,,,
Aqsu,,,,513,syriaca.org/place/4281,,,,,,,,,,10,11,,,
Aral Sea,,,,514,syriaca.org/place/4282,,,,,,,,,,10,11,,,
Besh-Baliq,,,,515,syriaca.org/place/4283,,,,,,,,,,10,11,,,
Balasaghun,,"Burana, Navekath",,516,syriaca.org/place/4284,,,,,,,,,,10,,,,
Burana,,"Balasaghun, Navekath",,516,syriaca.org/place/4284,,,,,,,,,,10,,,,
Chu River,,,,517,syriaca.org/place/4286,,,,,,,,,,10,11,,,
Drangtse,,Tangtse,,518,syriaca.org/place/4287,,,,,,,,,,10,,,,
Tangtse,,Drangtse,,518,syriaca.org/place/4287,,,,,,,,,,10,,,,
Gilgit,,,,519,syriaca.org/place/4289,,,,,,,,,,10,11,,,
Himalaya Range,,,,520,syriaca.org/place/4290,,,,,,,,,,10,11,,,
Ili River,,,,521,syriaca.org/place/4291,,,,,,,,,,10,11,,,
Islamabad,,,,522,syriaca.org/place/4292,,,,,,,,,,10,11,,,
Jam-Baliq,,,,523,syriaca.org/place/4293,,,,,,,,,,10,11,,,
Karajigach,,,,524,syriaca.org/place/4294,,,,,,,,,,10,,,,
Kashgar,,,,525,syriaca.org/place/4295,,,,,,,,,,10,11,,,
Khiva,,,,526,syriaca.org/place/4296,,,,,,,,,,10,,,,
Khotan,,,,527,syriaca.org/place/4297,,,,,,,,,,10,11,,,
Gurganj,,Konye-Urgench,,528,syriaca.org/place/4298,,,,,,,,,,10,,,,
Konye-Urgench,,Gurganj,,528,syriaca.org/place/4298,,,,,,,,,,10,,,,
Korla,,,,529,syriaca.org/place/4300,,,,,,,,,,10,,,,
Kucha,,,,530,syriaca.org/place/4301,,,,,,,,,,10,11,,,
Kyzylkum Desert,,,,531,syriaca.org/place/4302,,,,,,,,,,10,11,,,
"Balkhash, Lake",,,,532,syriaca.org/place/4303,,,,,,,,,,10,11,,,
Lahore,,,,533,syriaca.org/place/4304,,,,,,,,,,10,11,,,
Krorain,,Loulan,,534,syriaca.org/place/4305,,,,,,,,,,10,11,,,
Loulan,,Krorain,,534,syriaca.org/place/4305,,,,,,,,,,10,11,,,
Bügür,,Luntai,,535,syriaca.org/place/4307,,,,,,,,,,10,,,,
Luntai,,Bügür,,535,syriaca.org/place/4307,,,,,,,,,,10,,,,
Luntai,,Ürümchi,,536,syriaca.org/place/4309,,,,,,,,,,10,,,,
Ürümchi,,Luntai,,536,syriaca.org/place/4309,,,,,,,,,,10,,,,
Merki,,,,537,syriaca.org/place/4311,,,,,,,,,,10,,,,
Mizdakhkan,,,,538,syriaca.org/place/4312,,,,,,,,,,10,,,,
Navekath,,"Burana, Balasagun",,539,syriaca.org/place/4313,,,,,,,,,,10,11,,,
Osh,,,,540,syriaca.org/place/4314,,,,,,,,,,10,,,,
Farab,,Otrar,,541,syriaca.org/place/4315,,,,,,,,,,10,,,,
Otrar,,Farab,,541,syriaca.org/place/4315,,,,,,,,,,10,,,,
Panjikent,,,,542,syriaca.org/place/4317,,,,,,,,,,10,,,,
Peshawar,,,,543,syriaca.org/place/4318,,,,,,,,,,10,11,,,
Gaochang,,Qara Qocho,,544,syriaca.org/place/4319,,,,,,,,,,10,,,,
Qara Qocho,,Gaochang,,544,syriaca.org/place/4319,,,,,,,,,,10,,,,
Qarashahr,,Yanqi,,545,syriaca.org/place/4321,,,,,,,,,,10,11,,,
Yanqi,,Qarashahr,,545,syriaca.org/place/4321,,,,,,,,,,10,11,,,
Qayaliq,,,,546,syriaca.org/place/4323,,,,,,,,,,10,,,,
Taklamakan Desert,,,,548,syriaca.org/place/4324,,,,,,,,,,10,11,,,
Talas,,Ṭaraz,,549,syriaca.org/place/4325,,,,,,,,,,10,,,,
Ṭaraz,,Talas,,549,syriaca.org/place/4325,,,,,,,,,,10,,,,
Talgar,,,,550,syriaca.org/place/4327,,,,,,,,,,10,,,,
Tarim River,,,,551,syriaca.org/place/4328,,,,,,,,,,10,11,,,
Tashkent,,,,552,syriaca.org/place/4329,,,,,,,,,,10,11,,,
Toru Aygyr,,,,554,syriaca.org/place/4330,,,,,,,,,,10,,,,
Transoxiana,Y,Sogdiana,,555,syriaca.org/place/4273,,,,,,,,,,10,,,,
Ulaan Tolgoi,,,,557,syriaca.org/place/4332,,,,,,,,,,10,11,,,
Uzgand,,,,559,syriaca.org/place/4333,,,,,,,,,,10,,,,
Yarkand,,,,560,syriaca.org/place/4334,,,,,,,,,,10,11,,,
Aḥmadabad,,,,561,syriaca.org/place/4335,,,,,,,,,,,11,,,
Altai Range,,,,562,syriaca.org/place/4336,,,,,,,,,,,11,,,
Angkor,,,,563,syriaca.org/place/4337,,,,,,,,,,,11,,,
Arabian Sea,,,,564,syriaca.org/place/4338,,,,,,,,,,,11,,,
Barköl,,Ghinghintalas,,565,syriaca.org/place/4339,,,,,,,,,,,11,,,
Ghinghintalas,,Barköl,,565,syriaca.org/place/4339,,,,,,,,,,,11,,,
Bay of Bengal ,,,,566,syriaca.org/place/4341,,,,,,,,,,,11,,,12
Bian,,Kaifeng,,567,syriaca.org/place/4342,,,,,,,,,,,11,,,
Kaifeng,,Bian,,567,syriaca.org/place/4342,,,,,,,,,,,11,,,
Bombay,,Mumbai,,568,syriaca.org/place/4344,,,,,,,,,,,11,,,
Mumbai,,Bombay,,568,syriaca.org/place/4344,,,,,,,,,,,11,,,
Brahmaputra River,,,,569,syriaca.org/place/4346,,,,,,,,,,,11,,,
Burma,Y,,,570,syriaca.org/place/4347,,,,,,,,,,,11,,,
Calcutta,,Kolkata,,571,syriaca.org/place/4348,,,,,,,,,,,11,,,
Kolkata,,Calcutta,,571,syriaca.org/place/4348,,,,,,,,,,,11,,,
Cambodia,Y,,,572,syriaca.org/place/4350,,,,,,,,,,,11,,,
Champa,Y,,,573,syriaca.org/place/4351,,,,,,,,,,,11,,,
Chengdu,,,,575,syriaca.org/place/4352,,,,,,,,,,,11,,,
Chifeng,,,,576,syriaca.org/place/4353,,,,,,,,,,,11,,,
Delhi,,,,579,syriaca.org/place/4354,,,,,,,,,,,11,,,
Dunhuang,,,,580,syriaca.org/place/4000,,,,,,,,,,,11,,,
Fengzhou,,Huhhot,,581,syriaca.org/place/4356,,,,,,,,,,,11,,,
Huhhot,,Fengzhou,,581,syriaca.org/place/4356,,,,,,,,,,,11,,,
Ferghana,Y,,,582,syriaca.org/place/4358,,,,,,,,,,10,11,,,
Ganzhou,,Zhangye,,583,syriaca.org/place/4359,,,,,,,,,,,11,,,
Gobi Desert,,,,585,syriaca.org/place/4360,,,,,,,,,,,11,,,
Godavari River,,,,586,syriaca.org/place/4361,,,,,,,,,,,11,,,
Golkonda,,Hyderabad,,587,syriaca.org/place/4362,,,,,,,,,,,11,,,
Hyderabad,,Golkonda,,587,syriaca.org/place/4362,,,,,,,,,,,11,,,
Guangzhou,,,,588,syriaca.org/place/4364,,,,,,,,,,,11,,,
Hainan,,,,589,syriaca.org/place/4365,,,,,,,,,,,11,,,
Hejian,,,,590,syriaca.org/place/4366,,,,,,,,,,,11,,,
Hindu Kush Range,,,,591,syriaca.org/place/4367,,,,,,,,,9,10,11,,,
Irrawaddy River,,,,593,syriaca.org/place/4368,,,,,,,,,,,11,,,
Jiankang,,Nanjing,,594,syriaca.org/place/4369,,,,,,,,,,,11,,,
Nanjing,,Jiankang,,594,syriaca.org/place/4369,,,,,,,,,,,11,,,
Calliana,,Kalyan,,595,syriaca.org/place/4371,,,,,,,,,,,11,,,
Kalyan,,Calliana,,595,syriaca.org/place/4371,,,,,,,,,,,11,,,
Korea,Y,,,597,syriaca.org/place/4373,,,,,,,,,,,11,,,
Koshang,,,,598,syriaca.org/place/4374,,,,,,,,,,,11,,,
Krishna River,,,,599,syriaca.org/place/4375,,,,,,,,,,,11,,,
Kunlun Shan,,,,600,syriaca.org/place/4376,,,,,,,,,,10,11,,,
Ladakh,Y,,,601,syriaca.org/place/4377,,,,,,,,,,10,11,,,
Lhasa,,,,602,syriaca.org/place/4378,,,,,,,,,,,11,,,
Liaoyang,,,,603,syriaca.org/place/4379,,,,,,,,,,,11,,,
Hangzhou,,Lin’an,,604,syriaca.org/place/4380,,,,,,,,,,,11,,,
Lin’an,,Hangzhou,,604,syriaca.org/place/4380,,,,,,,,,,,11,,,
Lingwu,,Lingzhou,,605,syriaca.org/place/4382,,,,,,,,,,,11,,,
Lingzhou,,Lingwu,,605,syriaca.org/place/4382,,,,,,,,,,,11,,,
Mekong River,,,,609,syriaca.org/place/4384,,,,,,,,,,,11,,,
Mongolia,Y,,,610,syriaca.org/place/4385,,,,,,,,,,,11,,,
Mysore ,,Mysuru,,612,syriaca.org/place/4386,,,,,,,,,,,11,,,12
Mysuru,,Mysore ,,612,syriaca.org/place/4386,,,,,,,,,,,11,,,
Narmada River,,,,613,syriaca.org/place/4388,,,,,,,,,,,11,,,
Nepal,Y,,,614,syriaca.org/place/4389,,,,,,,,,,,11,,,
Olan Süme,,,,615,syriaca.org/place/4390,,,,,,,,,,,11,,,
Ordos,,,,616,syriaca.org/place/4391,,,,,,,,,,,11,,,
Pagan,,,,617,syriaca.org/place/4392,,,,,,,,,,,11,,,
Pamir,,,,618,syriaca.org/place/4393,,,,,,,,,,10,11,,,
Patna,,,,619,syriaca.org/place/4394,,,,,,,,,,,11,,,
Pegu,,,,620,syriaca.org/place/4395,,,,,,,,,,,11,,,
Qamul,,,,621,syriaca.org/place/4396,,,,,,,,,,,11,,,
Qara Qota,,,,622,syriaca.org/place/4397,,,,,,,,,,,11,,,
Qaraqorum,,,,623,syriaca.org/place/4398,,,,,,,,,,,11,,,
Salween River,,,,625,syriaca.org/place/4399,,,,,,,,,,,11,,,
Shangdu,,Xanadu,,626,syriaca.org/place/4400,,,,,,,,,,,11,,,
Xanadu,,Shangdu,,626,syriaca.org/place/4400,,,,,,,,,,,11,,,
South China Sea,,,,627,syriaca.org/place/4402,,,,,,,,,,,11,,,
Sum Huh Burd,,,,628,syriaca.org/place/4403,,,,,,,,,,,11,,,
Jiuquan,,Suzhou,,629,syriaca.org/place/4404,,,,,,,,,,,11,,,
Suzhou,,Jiuquan,,629,syriaca.org/place/4404,,,,,,,,,,,11,,,
Jaxartes River,,Syr Darya River,,630,syriaca.org/place/4406,,,,,,,,,,10,11,,,
Syr Darya River,,Jaxartes River,,630,syriaca.org/place/4406,,,,,,,,,,10,11,,,
Taiwan,,,,631,syriaca.org/place/4408,,,,,,,,,,,11,,,
Tarim Basin,,,,633,syriaca.org/place/4409,,,,,,,,,,10,11,,,
Tenduc,Y,,,634,syriaca.org/place/4410,,,,,,,,,,,11,,,
Thar Desert,Y,,,635,syriaca.org/place/4411,,,,,,,,,,,11,,,
Tian Shan Mountains.,,,,636,syriaca.org/place/4412,,,,,,,,,,10,11,,,
Ujjain,,,,638,syriaca.org/place/4413,,,,,,,,,,,11,,,
Vijaya,,,,639,syriaca.org/place/4414,,,,,,,,,,,11,,,
Shangwan,,Xiapu,,640,syriaca.org/place/4415,,,,,,,,,,,11,,,
Xiapu,,Shangwan,,640,syriaca.org/place/4415,,,,,,,,,,,11,,,
Datong,,Xijing,,641,syriaca.org/place/4417,,,,,,,,,,,11,,,
Xijing,,Datong,,641,syriaca.org/place/4417,,,,,,,,,,,11,,,
Yinchuan,,"Ningxia, Xingqing",,642,syriaca.org/place/4419,,,,,,,,,,,11,,,
Xining,,,,643,syriaca.org/place/4420,,,,,,,,,,,11,,,
Yellow River,,,,646,syriaca.org/place/4421,,,,,,,,,,,11,,,
Yellow Sea,,,,647,syriaca.org/place/4422,,,,,,,,,,,11,,,
Kunming,,Yunnanfu,,648,syriaca.org/place/4423,,,,,,,,,,,11,,,
Yunnanfu,,Kunming,,648,syriaca.org/place/4423,,,,,,,,,,,11,,,
Calicut,,Kozhikode,,652,syriaca.org/place/4425,,,,,,,,,,,,,,12
Kozhikode,,Calicut,,652,syriaca.org/place/4425,,,,,,,,,,,,,,12
Ceylon,Y,Sri Lanka,,653,syriaca.org/place/4427,,,,,,,,,,,,,,12
Sri Lanka,Y,Ceylon,,653,syriaca.org/place/4427,,,,,,,,,,,,,,12
Coromandel Coast,y,,,655,syriaca.org/place/4429,,,,,,,,,,,,,,12
Cranganore,,Kodungallur,,656,syriaca.org/place/4430,,,,,,,,,,,,,,12
Kodungallur,,Cranganore,,656,syriaca.org/place/4430,,,,,,,,,,,,,,12
Diamper,,Udayamperur ,,657,syriaca.org/place/4432,,,,,,,,,,,,13,,12
Udayamperur ,,Diamper,,657,syriaca.org/place/4432,,,,,,,,,,,,13,,12
Gulf of Mannar ,,,,658,syriaca.org/place/4434,,,,,,,,,,,,,,12
Jaffna,,Yalpanam,,659,syriaca.org/place/4435,,,,,,,,,,,,,,12
Yalpanam,,Jaffna,,659,syriaca.org/place/4435,,,,,,,,,,,,,,12
Kaveri River ,,,,661,syriaca.org/place/4437,,,,,,,,,,,,,,12
Madurai ,,,,666,syriaca.org/place/4438,,,,,,,,,,,,,,12
Mantai ,,Mantota,,667,syriaca.org/place/4439,,,,,,,,,,,,,,12
Mantota,,Mantai ,,667,syriaca.org/place/4439,,,,,,,,,,,,,,12
Kollam,,Quilon,,669,syriaca.org/place/4441,,,,,,,,,,,,,,
Quilon,,Kollam,,669,syriaca.org/place/4441,,,,,,,,,,,,,,
Tanjore,,Thanjavur,,670,syriaca.org/place/4443,,,,,,,,,,,,,,12
Thanjavur,,Tanjore,,670,syriaca.org/place/4443,,,,,,,,,,,,,,12
Thiruvalla,,,,671,syriaca.org/place/4445,,,,,,,,,,,,,,12
Thiruvananthapuram ,,Trivandrum,,674,syriaca.org/place/4446,,,,,,,,,,,,,,12
Trivandrum,,Thiruvananthapuram ,,674,syriaca.org/place/4446,,,,,,,,,,,,,,12
Adhorma,,,,675,syriaca.org/place/4448,,,,,,,,,,,,,14,
Başkale,,,,684,syriaca.org/place/4449,,,,,,,,,,,,,14,
Bədyal,,,,686,syriaca.org/place/4450,,,,,,,,,,,,,14,
Betanure,,,,687,syriaca.org/place/4451,,,,,,,,,,,,,14,
Biye,,,,692,syriaca.org/place/4452,,,,,,,,,,,,,14,
Challa,,,,694,syriaca.org/place/4453,,,,,,,,,,,,,14,
Dobe,,,,698,syriaca.org/place/4454,,,,,,,,,,,,,14,
Estil,,,,700,syriaca.org/place/4455,,,,,,,,,,,,,14,
Hertevin,,,,706,syriaca.org/place/4456,,,,,,,,,,,,,14,
Maʿaltha,Y,,,707,syriaca.org/place/4457,,,,,,,,,,,,,14,
Ḥrbath Glal,Y,,,708,syriaca.org/place/4458,,,,,,,7,,,,,,14,
Koy Sanjak,,,,711,syriaca.org/place/4459,,,,,,,,,,,,,14,
Nerwa,,,,722,syriaca.org/place/4460,,,,,,,,,,,,,14,
Semele,,,,734,syriaca.org/place/4461,,,,,,,,,,,,,14,
Shaqlawa,,,,735,syriaca.org/place/4462,,,,,,,,,,,,,14,
Tal ʿAfar,,,,739,syriaca.org/place/4463,,,,,,,,,,,,,14,
