Label,Region,See_Also,Comments,NewRef_ID_NO,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_13,Map_14,Map_12
Heliopolis,,Baʿalbak,,72,syriaca.org/place/577,1,,,4,,,7,,,,,,,
Baʿalbak,,Heliopolis,,177,syriaca.org/place/577,,2,,4,,,,,,,,,,
Ctesiphon,,,,45,syriaca.org/place/58,1,,,,,,,8,9,,,,,
Beth Bgash,Y,,,688,syriaca.org/place/580,,,,,,,,,,,,,14,
Bohtan,Y,,,693,syriaca.org/place/583,,,,,,,,,,,,,14,
Qalamun Mountains,,,,781,syriaca.org/place/597,,,,4,,,,,,,,,,
Caesarea,,Kayseri,,33,syriaca.org/place/60,1,,,,,,,,,,,,,
Kayseri,,Caesarea,,210,syriaca.org/place/60,,2,,,,,,,,,,,,
Kerala,Y,,,662,syriaca.org/place/602,,,,,,,,,,,,13,,12
Khorasan,Y,,,484,syriaca.org/place/603,,,,,,,,,9,10,,,,
Merv,,,,487,syriaca.org/place/607,,,,,,,,,9,10,,,,
Caspian Sea,,,,40,syriaca.org/place/61,1,2,,,,,,,9,,,,,
Circesium,,"Qarqisiyaʾ, Qarqisyun",,43,syriaca.org/place/62,1,,,,,,7,,,,,,,
Qarqisyun,,"Circesium, Qarqisiyaʾ",,43,syriaca.org/place/62,1,,,,,,7,,,,,,,
Qarqisiyaʾ,,"Circesium, Qarqisyun",,233,syriaca.org/place/62,,2,,,,,7,,,,,,,
Nile River,,,,340,syriaca.org/place/629,,,,,5,6,,,,,,,,
Pontus,Y,,,113,syriaca.org/place/633,1,,,,,,,,,,,,,
Qalʿat Simʿan,,,,283,syriaca.org/place/635,,,3,,,,,,,,,,,
Cudi Daği,,,,695,syriaca.org/place/637,,,,,,,,,,,,,14,
Socotra,,,,377,syriaca.org/place/642,,,,,,6,,,,,,,,
Sumatar Harabesi,,,,419,syriaca.org/place/643,,,,,,,7,,,,,,,
Tibet,Y,,,553,syriaca.org/place/646,,,,,,,,,,10,11,,,
Urgut,,,,558,syriaca.org/place/649,,,,,,,,,,10,,,,
Cyrrhus,,,,47,syriaca.org/place/65,1,,3,,,,,,,,,,,
Qurus,,,,235,syriaca.org/place/65,,2,3,,,,,,,,,,,
Ṣarrin,,,,285,syriaca.org/place/655,,,3,,,,7,,,,,,,
Ivan-e Karkha,,Karka d-Ledan,,433,syriaca.org/place/656,,,,,,,,8,,,,,,
Karka d-Ledan,,Ivan-e Karkha,,433,syriaca.org/place/656,,,,,,,,8,,,,,,
Damascus,,,,48,syriaca.org/place/66,1,2,,4,5,,,,,,,,,
Alexandretta,,Iskenderun,,156,syriaca.org/place/663,,2,3,,,,,,,,,,,
Iskenderun,,Alexandretta,,268,syriaca.org/place/663,,,3,,,,,,,,,,,
Angamaly ,,,,650,syriaca.org/place/666,,,,,,,,,,,,13,,12
Dara,,,,49,syriaca.org/place/67,1,,,,,,7,,,,,,14,
Arzanene,Y,,,680,syriaca.org/place/673,,,,,,,,,,,,,14,
Ascalon,,,,19,syriaca.org/place/674,1,2,,,5,,,,,,,,,
Dayr al-Zaʿfaran,,,,696,syriaca.org/place/69,,,,,,,,,,,,,14,
Palestine,Y,,,106,syriaca.org/place/698,1,2,,,5,,,,,,,,,
Beth Moksaye,Y,,,750,syriaca.org/place/704,1,2,,,,,7,8,,,,,,
Elam,Y,"Beth Ḥuzaye, Khuzistan",,55,syriaca.org/place/706,1,,,,,,,8,,,,,,
Cyprus,Y,,,46,syriaca.org/place/714,1,2,3,,,,,,,,,,,
Egypt,Y,,,328,syriaca.org/place/715,,,,,5,6,,,,,,,,
Arabia,Y,,,453,syriaca.org/place/716,,,,,,6,,,9,,,,,
Beth Aramaye,Y,,,427,syriaca.org/place/717,1,2,,,,,,8,,,,,,
Tangut,Y,,,632,syriaca.org/place/727,,,,,,,,,,,11,,,
Baz,Y,,,685,syriaca.org/place/734,,,,,,,,,,,,,14,
Beth Dasen,Y,,,689,syriaca.org/place/738 ,1,2,,,,,,,,,,,14,
Jilu,Y,,,709,syriaca.org/place/759,,,,,,,,,,,,,14,
Dohok,,Dohuk,,699,syriaca.org/place/76,,,,,,,,,,,,,14,
Dohuk,,Dohok,,759,syriaca.org/place/76 ,1,2,,,,,7,,,,,,,
"Ṭiyari, Lower",Y,,,712,syriaca.org/place/761,,,,,,,,,,,,,14,
Dura,,Europos,,52,syriaca.org/place/77,1,,,,,,7,,,,,,,
Europos,,Dura,,52,syriaca.org/place/77,1,,,,,,7,,,,,,,
Qaimar,Y,,,723,syriaca.org/place/770,,,,,,,,,,,,,14,
Šammәsdin,Y,,,733,syriaca.org/place/778,,,,,,,,,,,,,14,
Edessa,,,,54,syriaca.org/place/78,1,2,,,,,7,,,,,,,
"Ṭiyari, Upper",Y,,,742,syriaca.org/place/790,,,,,,,,,,,,,14,
Van,,,,145,syriaca.org/place/791,1,2,,,,,7,,9,,,,14,
Almaliq,,,,511,syriaca.org/place/796,,,,,,,,,,10,11,,,
Adurbadagan,,Ardabil,,4,syriaca.org/place/798,1,,,,,,,,,,,,,
Ardabil,,Adurbadagan,,166,syriaca.org/place/798,1,2,,,,,,,9,,,,,
Amida,,Diyarbakir,,6,syriaca.org/place/8,1,2,,,,,7,,,,,,,
Diyarbakir,,Amida,,160,syriaca.org/place/8,,2,,,,,7,,,,,,,
al-Bawazij,,Beth Waziq,change alpha,389,syriaca.org/place/806,,,,,,,7,8,,,,,,
Beth Waziq,,al-Bawazij,,389,syriaca.org/place/806,,,,,,,7,8,,,,,,
Daquqa,,,,184,syriaca.org/place/812,,2,,,,,7,8,,,,,,
Gawar,,Yüksekova,,701,syriaca.org/place/815,,,,,,,,,,,,,14,
Yüksekova,,Gawar,,701,syriaca.org/place/815,,,,,,,,,,,,,14,
Yerevan,,,,267,syriaca.org/place/817,,2,,,,,,,,,,,,
Euphrates River,,,,59,syriaca.org/place/82,1,2,3,,,,7,8,9,,,,,
Goa,,,,584,syriaca.org/place/822,,,,,,,,,,,11,,,
Hamadan,,,,69,syriaca.org/place/823,1,2,,,,,,8,9,,,,,
Ispahan,,,,478,syriaca.org/place/830,,,,,,,,,9,,,,,
Beth Parsaye,Y,Fars,,469,syriaca.org/place/84,,,,,,6,,,9,,,,,
Fars,Y,Beth Parsaye,,469,syriaca.org/place/84,,,,,,6,,,9,,,,,
Gabala,,,,276,syriaca.org/place/85,,,3,,,,,,,,,,,
Samarqand,,,,547,syriaca.org/place/865,,,,,,,,,,10,11,,,
Sanandaj,,Sehna,,244,syriaca.org/place/867,,2,,,,,,8,9,,,,,
Sehna,,Sanandaj,,244,syriaca.org/place/867,,2,,,,,,8,9,,,,,
al-Sinn,,"Shenna, Shenna d-Beth Raman",change alpha,126,syriaca.org/place/869,,2,,,,,7,8,,,,,,
Shenna,,"Shenna d-Beth Raman, al-Sinn",,126,syriaca.org/place/869,,2,,,,,7,8,,,,,,
Shenna d-Beth Raman,,"Shenna, al-Sinn",,126,syriaca.org/place/869,1,,,,,,,,,,,,,
Gaza,,,,64,syriaca.org/place/87,1,2,,,5,,,,,,,,,
Thrissur,,Trichur,,673,syriaca.org/place/876,,,,,,,,,,,,,,12
Trichur,,Thrissur,,673,syriaca.org/place/876,,,,,,,,,,,,,,12
Gazarta,,Cizre,,65,syriaca.org/place/88,1,2,,,,,7,,,,,,,
Cizre,,Gazarta,,191,syriaca.org/place/88,,2,,,,,,,,,,,14,
Germanicea,,Marʿash,,67,syriaca.org/place/89,1,,3,,,,,,,,,,,
Marʿash,,Germanicea,,225,syriaca.org/place/89,,2,3,,,,,,,,,,,
Anazarba,,ʿAyn Zarba,,163,syriaca.org/place/9,,2,3,,,,,,,,,,,
ʿAyn Zarba,,Anazarba,Realpha,163,syriaca.org/place/9,,2,3,,,,,,,,,,,
Epiphaneia,,Ḥama,,57,syriaca.org/place/91,1,,3,,,,,,,,,,,
Ḥama,,Epiphaneia,,275,syriaca.org/place/91,,2,3,,,,,,,,,,,
Hasankeyf,,Ḥesna d-Kifa,,196,syriaca.org/place/92,,,,,,,,,,,,,14,
Ḥesna d-Kifa,,Hasankeyf,,196,syriaca.org/place/92,,2,,,,,7,,,,,,14,
Khuzistan,Y,"Beth Ḥuzaye, Elam",,765,syriaca.org/place/929,,2,,,,,,8,,,,,,
Ḥaṭra,,,,70,syriaca.org/place/93,1,,,,,,7,,,,,,,
Ahvaz,,Hormuz-Ardashir,,153,syriaca.org/place/96,,2,,,,,,8,9,,,,,
Hormuz-Ardashir,,Ahvaz,,153,syriaca.org/place/96,1,,,,,,,8,9,,,,,
Hromkla,,Qalʿa Rumayta,,199,syriaca.org/place/97,,2,3,,,,7,,,,,,,
Qalʿa Rumayta,,Hromkla,,199,syriaca.org/place/97,,,3,,,,,,,,,,,
Iraq,Y,,,202,syriaca.org/place/98,,2,,,,,,8,,,,,,
Adiabene,Y,Ḥadyab,,2,syriaca.org/place/993,1,,,,,,7,,,,,,14,
Ḥadyab,Y,Adiabene,,2,syriaca.org/place/993,,2,,,,,7,,,,,,14,
Abila,,,,1,syriaca.org/place/4355,1,,,4,,,,,,,,,,
Adummatu,,Dumatha,,3,syriaca.org/place/4001,1,,,,,,,,,,,,,
Dumatha,,Adummatu,,3,syriaca.org/place/4001,1,,,,,,,,,,,,,
Anamur,,Anemurium,162,9,syriaca.org/place/4003,,2,,,,,,,,,,,,
Anemurium,,Anamur,,9,syriaca.org/place/4003,1,,3,,,,,,,,,,,
Ani,,,,10,syriaca.org/place/4005,1,2,,,,,,,,,,,,
Araxes River,,,,13,syriaca.org/place/4006,1,2,,,,,7,,,,,,,
Artaxata,,,,17,syriaca.org/place/4007,1,,,,,,,,,,,,,
Ashtishat,,,,20,syriaca.org/place/4008,1,,,,,,7,,,,,,,
Ashur,,,,21,syriaca.org/place/4009,1,,,,,,7,8,,,,,,
Atropatene,Y,,,22,syriaca.org/place/4010,1,,,,,,,,,,,,,
Babylon,,,,23,syriaca.org/place/4011,1,,,,,,,8,9,,,,,
Beth Daraye,,,,27,syriaca.org/place/4013,1,2,,,,,,8,,,,,,
Camacha,,"Kamacha, Kamakh",,36,syriaca.org/place/4014,1,,,,,,,,,,,,,
Commagene,Y,,,44,syriaca.org/place/4015,1,,,,,,7,,,,,,,
Dasqarta d-Malka,,,,50,syriaca.org/place/4016,1,,,,,,,8,,,,,,
Dead Sea,,,,51,syriaca.org/place/4017,,,,,5,,,,,,,,,
Dvin,,,,53,syriaca.org/place/4018,1,2,,,,,,,9,,,,,
Galatia,Y,,,61,syriaca.org/place/4019,1,,,,,,,,,,,,,
Ganzak,,,,63,syriaca.org/place/4020,1,,,,,,7,,9,,,,,
Gerasa,,,,66,syriaca.org/place/4021,1,,,,5,,,,,,,,,
Gilan,Y,,,68,syriaca.org/place/4022,1,2,,,,,,,9,,,,,
Castabala,,,,74,syriaca.org/place/4023,1,,3,,,,,,,,,,,
Iconium,,,,77,syriaca.org/place/4024,1,,,,,,,,,,,,,
al-Jabiya,,Ḥirta d-Ṭayyaye,change alpha,78,syriaca.org/place/4025,1,,,,5,,,,,,,,,
Ḥirta d-Ṭayyaye,,al-Jabiya,,78,syriaca.org/place/4026,1,,,,5,,,,,,,,,
Joppa,,,,80,syriaca.org/place/4027,1,,,,,,,,,,,,,
Karka d-Maishan,,,,82,syriaca.org/place/4028,1,,,,,,,8,9,,,,,
Kars,,,,83,syriaca.org/place/4029,1,2,,,,,,,,,,,,
Kura River,,,,85,syriaca.org/place/4030,1,2,,,,,,,,,,,,
"Sevan, Lake",,,,86,syriaca.org/place/4031,1,2,,,,,,,,,,,,
"Tatta, Lake",,"Tuz, Lake",,87,syriaca.org/place/4032,1,,,,,,,,,,,,,
"Tuz, Lake",,"Tatta, Lake",,87,syriaca.org/place/4032,,2,,,,,,,,,,,,
Media,Y,,,95,syriaca.org/place/4034,1,,,,,,,,,,,,,
Neocaesarea,,,,98,syriaca.org/place/4035,1,,,,,,,,,,,,,
Nihawand,,,,99,syriaca.org/place/4036,1,2,,,,,,8,9,,,,,
Nippur,,,,101,syriaca.org/place/4037,1,,,,,,,,,,,,,
Olba,,,,103,syriaca.org/place/4038,1,,3,,,,,,,,,,,
Orchoe,,Uruk,,104,syriaca.org/place/4039,1,,,,,,,8,,,,,,
Uruk,,Orchoe,,104,syriaca.org/place/4039,1,,,,,,,8,,,,,,
Paydangaran,,Baylaqan,,105,syriaca.org/place/4041,1,,,,,,,,9,,,,,
Paphus,,,,108,syriaca.org/place/4042,1,,3,,,,,,,,,,,
Partaw,,,,109,syriaca.org/place/4043,1,,,,,,,,9,,,,,
Philadelphia,,Amman,,112,syriaca.org/place/4044,1,,,,5,,,,,,,,,
Radhan,,,,115,syriaca.org/place/4045,1,,,,,,,8,,,,,,
Raphia,,Rafaḥ,,116,syriaca.org/place/4046,1,,,,5,,,,,,,,,
Constantia,,Salamis,,118,syriaca.org/place/4047,1,,,,,,,,,,,,,
Salamis,,Constantia,,118,syriaca.org/place/4047,1,,3,,,,,,,,,,,
Sebasteia,,,,121,syriaca.org/place/4049,1,,,,,,,,,,,,,
Sirawan,,,,129,syriaca.org/place/4050,1,,,,,,,8,9,,,,,
Syrian Desert,,,,132,syriaca.org/place/4051,1,2,3,4,,,7,,,,,,,
Trebizond,,,,140,syriaca.org/place/4052,1,2,,,,,,,,,,,,
Tyana,,,,142,syriaca.org/place/4053,1,,,,,,,,,,,,,
Echmiadzin,,Vagharshapat,187,144,syriaca.org/place/4054,,2,,,,,,,,,,,,
Vagharshapat,,Echmiadzin,144,144,syriaca.org/place/4054,1,,,,,,,,,,,,,
ʿUkbara,,,Realpha,149,syriaca.org/place/4056,1,,,,,,,8,,,,,,
(Old) Baṣra,,,Alphabetize under 'B',150,syriaca.org/place/4057,,2,,,,,,8,9,,,,,
al-Madaʾin,,"Maḥoze, Medinata",change alpha,157,syriaca.org/place/4058,1,2,,,,,,8,,,,,,
Maḥoze,,"al-Madaʾin, Medinata",,157,syriaca.org/place/4058,1,2,,,,,,8,,,,,,
Medinata,,"al-Madaʾin, Maḥoze",,157,syriaca.org/place/4058,1,2,,,,,,8,,,,,,
Amman,,Philadelphia,,161,syriaca.org/place/4061,,2,,,5,,,,,,,,,
Arwad,,,,167,syriaca.org/place/4062,,2,3,,,,,,,,,,,
Baku,,,,171,syriaca.org/place/4063,,2,,,,,,,9,,,,,
Bardhaʿa,,,,174,syriaca.org/place/4064,,2,,,,,,,,,,,,
Khorramshahr,,Muḥammara,,175,syriaca.org/place/4065,,2,,,,,,8,,,,,,
Muḥammara,,Khorramshahr,,175,syriaca.org/place/4065,,,,,,,,8,,,,,,
