Old-ID,NEW,Map,Old Name,New Name,Deprecated
,New203,,#N/A,#REF!,
,New204,,#N/A,#REF!,
,New205,,#N/A,#REF!,
,New206,,#N/A,#REF!,
,New207,,#N/A,#REF!,
,New208,,#N/A,#REF!,
,New209,,#N/A,#REF!,
Old199,New21,,Karemlesh,#REF!,
Old482,New21,,Karamlish,#REF!,
,New210,,#N/A,#REF!,
,New211,,#N/A,#REF!,
,New212,,#N/A,#REF!,
,New213,,#N/A,#REF!,
,New214,,#N/A,#REF!,
,New215,,#N/A,#REF!,
,New216,,#N/A,#REF!,
,New217,,#N/A,#REF!,
,New218,,#N/A,#REF!,
,New219,,#N/A,#REF!,
Old200,New22,,Kerend,#REF!,
,New220,,#N/A,#REF!,
,New221,,#N/A,#REF!,
,New222,,#N/A,#REF!,
,New223,,#N/A,#REF!,
,New224,,#N/A,#REF!,
,New225,,#N/A,#REF!,
,New226,,#N/A,#REF!,
,New227,,#N/A,#REF!,
,New228,,#N/A,#REF!,
,New229,,#N/A,#REF!,
Old201,New23,,Khanaqin,#REF!,
,New230,,#N/A,#REF!,
,New231,,#N/A,#REF!,
,New232,,#N/A,#REF!,
,New233,,#N/A,#REF!,
,New234,,#N/A,#REF!,
,New235,,#N/A,#REF!,
,New236,,#N/A,#REF!,
,New237,,#N/A,#REF!,
,New238,,#N/A,#REF!,
,New239,,#N/A,#REF!,
Old202,New24,,Khorramshahr,#REF!,
,New240,,#N/A,#REF!,
,New241,,#N/A,#REF!,
,New242,,#N/A,#REF!,
,New243,,#N/A,#REF!,
,New244,,#N/A,#REF!,
,New245,,#N/A,#REF!,
,New246,,#N/A,#REF!,
,New247,,#N/A,#REF!,
,New248,,#N/A,#REF!,
,New249,,#N/A,#REF!,
Old203,New25,,Koy Sanjak,#REF!,
,New250,,#N/A,#REF!,
Old44,New251,,Shenna d'Beth Ramman,#REF!,
Old52,New252,,Nifr,#REF!,
,New253,,#N/A,#REF!,
,New254,,#N/A,#REF!,
,New255,,#N/A,#REF!,
Old30,New256,,Rishʿania,#REF!,
Old446,New256,,Resh‘ayna,#REF!,
Old263,New257,,Petra,#REF!,
,New258,,#N/A,#REF!,
,New259,,#N/A,#REF!,
Old152,New26,,Marga,#REF!,
Old204,New26,,Mardin,#REF!,
Old40,New26,,Marga,#REF!,
Old404,New26,,Mardin,#REF!,
Old484,New26,,Mardin,#REF!,
Old60,New260,,Rima,#REF!,
Old95,New260,,Ubullah,#REF!,
,New261,,#N/A,#REF!,
,New262,,#N/A,#REF!,
,New263,,#N/A,#REF!,
,New264,,#N/A,#REF!,
Old242,New265,,Olon Süme,#REF!,
Old156,New266,,Qalat Sem‘an,#REF!,
Old335,New267,,Qamul (Hami),#REF!,
Old100,New268,,Qara,#REF!,
Old111,New269,,Qarṭamīn,#REF!,
Old205,New27,,Mawana,#REF!,
Old112,New270,,Qennešrin,#REF!,
Old113,New271,,Rabban Bar ‘Edta,#REF!,
Old382,New272,,Rabban Hormizd,#REF!,
Old461,New272,,Rabban Hormizd,#REF!,
Old291,New273,,Salah,#REF!,
Old282,New274,,Serrīn,#REF!,
Old103,New275,,Sadad,#REF!,
Old214,New275,,Sablagh (Mahabad),#REF!,
