Shelf-mark	Shelf-mark-as-id	Catalog pp# (volume#pages)	Wright’s Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:
Add. 14,456	Add.14-456	1#55-57	LXXX	80	Approx. 8c	129				Tucker	Drafted and edited	Daniel, 9/6
Add. 14,458	Add.14-458	1#47-48	LXXI	71	Approx. 6c-7c	131				Tucker	Drafted and edited	Tucker, 11/16
Add. 14,459, foll. 1-66	Add.14-459-foll.1-66	1#64	XC	90	Approx. 5c	133				Tucker	Drafted and edited	Tucker, 1/2/2014
Add. 14,459, foll. 67-169	Add.14-459-foll.67-169	1#67-68	CI	101	530-540	134				Tucker	Drafted and edited	Tucker, 1/2/2014
Add. 14,460	Add.14-460	1#52-53	LXXVI	76	600	135				Tucker	Drafted and edited	Tucker, 1/2/2014
Add. 14,461, foll. 1-107	Add.14-461-foll.1-107	1#65-66	XCIV	94	Approx. 6c	137				Daniel	Drafted and edited	Tucker, 1/2/2014
Add. 14,461, foll. 108-212	Add.14-461-foll.108-212	1#68	CII	102	Approx. 9c-10c	138				Daniel	Drafted and edited	Tucker, 1/2/2014
Add. 14,462	Add.14-462	1#64-65	XCII	92	Approx. 6c	139				Tucker	Drafted and edited	Tucker, 1/2/2014
Add. 14,463	Add.14-463	1#54-55	LXXVIII	78	Approx. 7c	140				Tucker	Drafted and edited	Tucker, 1/2/2014
Add. 14,464	Add.14-464	1#70-71	CX	110	Approx. 6c	141				Daniel	Drafted and edited	Tucker, 12/17
Add. 14,465	Add.14-465	1#60-61	LXXXV	85	Approx. 12c	142				Tucker	Drafted and edited	Tucker, 1/2/2014
Add. 14,466, foll. 1-10	Add.14-466-foll.1-10	1#69	CVI	106	Approx. 12c	144				Daniel	Drafted and edited	Tucker, 12/20
Add. 14,466, foll. 11-17	Add.14-466-foll.11-17	1#67	C	100	Approx. 10c-11c	145				Daniel	Drafted and edited	Tucker, 12/21
Add. 14,466, foll. 18-42	Add.14-466-foll.18-42	1#73	CXVIII	118	Approx. 11c-12c	146				Daniel	Drafted and edited	Tucker, 12/21
Add. 14,466, foll. 43-59	Add.14-466-foll.43-59	2#836-837	DCCCXX	820	Approx. 10c-11c	147				Aaron	Drafted and edited	Justin 4/23/2015
Add. 14,467	Add.14-467	1#66-67	XCVII	97	Approx. 10c (early)	148				Daniel	Drafted and edited	Tucker, 12/21
Add. 14,468, foll. 1-20	Add.14-468-foll.1-20	1#92-93	CXLIII	143	Approx. 7c	150				Justin, Erin, Alex	Drafted and edited	DM, 10/7
Add. 14,468, foll. 21-33	Add.14-468-foll.21-33	1#93	CXLVI	146	Approx. 10c-11c	151				Justin, Erin, Alex	Drafted and edited	DM, 10/7
Add. 14,469	Add.14-469	1#75-76	CXX	120	936	152				Daniel	Drafted and edited	Tucker, 1/2/2014
Add. 14,470	Add.14-470	1#40-41	LXIII	63	Approx. 5c-6c, 9c	153				Tucker	Drafted and edited	Tucker, 1/3/2014
Add. 14,471	Add.14-471	1#53-54	LXXVII	77	615	154				Tucker	Drafted and edited	Tucker, 1/3/2014
Add. 14,472	Add.14-472	1#81-82	CXXVIII	128	Approx. 6c-7c	155				Tucker	Drafted and edited	Tucker, 1/3/2014
Add. 14,473, foll. 1-139	Add.14-473-foll.1-139	1#79-80	CXXV	125	Approx. 6c	157				Tucker	Drafted and edited	Tucker, 1/3/2014
Add. 14,473, foll. 140-148	Add.14-473-foll.140-148	1#83-84	CXXXII	132	Approx. 11c	158				Tucker	Drafted and edited	Tucker, 1/3/2014
Add. 14,474	Add.14-474	1#76-77	CXXI	121	Approx. 9c	159				Daniel	Drafted and edited	Tucker, 1/23/2014
Add. 14,475	Add.14-475	1#86-87	CXXXVI	136	Approx. 6c	160				Tucker	Drafted and edited	Tucker, 1/23/2014
Add. 14,476	Add.14-476	1#84	CXXXIII	133	Approx. 5c-6c	161				Tucker	Drafted and edited	Tucker, 1/24/2014
Add. 14,477	Add.14-477	1#88-89	CXXXVIII	138	Approx. 6c-7c	162				Tucker	Drafted and edited	Tucker, 2/14/2014
Add. 14,478	Add.14-478	1#90-92	CXLI	141	622	163				Daniel 	Drafted and edited	Tucker, 2/14/2014
Add. 14,479	Add.14-479	1#86	CXXXV	135	534	164				Tucker	Drafted and edited	Tucker, 2/14/2014
Add. 14,481	Add.14-481	1#9	CXXXIX	139	Approx. 6c-7c	166				Daniel 	Drafted and edited	Tucker, 12/26
Add. 14,482	Add.14-482	1#112-113	CLXV	165	Approx. 11c-12c	167				Anna	Drafted and edited	Lindsay, 4/19/2020
Add. 14,483	Add.14-483	2#591	DCCVI	706	Approx. 9c	168				Daniel 	Drafted and edited	
Add. 14,484, foll. 1-8	Add.14-484-foll.1-8	1#99	CLVIII	158	Approx. 5c-6c	170				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,484, foll. 9-11	Add.14-484-foll.9-11	1#99-100	CLIX	159	Approx. 10c-11c	171				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,484, foll. 12-47	Add.14-484-foll.12-47	1#98-99	CLVII	157	Approx. 6c	172				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,485	Add.14-485	1#146-149	CCXX	220	824	175				Kim	Drafted and edited	
Add. 14,487	Add.14-487	1#152-154	CCXXII	222	824	177				Anna	Drafted and edited	Lindsay 03/26/2020
Add. 14,488	Add.14-488	1#194-200	CCL	250	Approx. 11c –prob.1023	178				Jessie	Drafted and edited	Lindsay 05/27/2020
Add. 14,489	Add.14-489	1#200-202	CCLI	251	1046	179				Anna	Drafted and edited	Lindsay 04/30/2020
Add. 14,491	Add.14-491	1#179-181	CCXLIV	244	Approx. 9c-10c	181				Peter	Drafted	
Add. 14,492	Add.14-492	1#178-179	CCXLIII	243	862	182				Will Potter	Drafted and edited	Anna 5/2/20
Add. 14,493	Add.14-493	1#219-223	CCLXXXVI	286	Approx. 10c	183				Will Potter	Drafted and edited	Anna 5/2/20
Add. 14,494	Add.14-494	1#217-218	CCLXXXIV	284	Approx. 9c-10c	184				Lindsay R.	Drafted and edited	Will, 01/31/2020
Add. 14,495	Add.14-495	1#227-228	CCXCI	291	Approx. 10c-11c	185				Aaron	Drafted and edited	Jessie, 05/30/2020
Add. 14,497	Add.14-497	1#231-232	CCXCVI	296	Approx. 11c-12c	187				Aaron	Drafted and edited	Jessie, 05/30/2020
Add. 14,498	Add.14-498	1#230-231	CCXCV	295	1133	188				Aaron	Drafted and edited	Jessie, 05/30/2020
Add. 14,499	Add.14-499	1#229-230	CCXCIII	293	Approx. 10c-11c	189				Aaron	Drafted and edited	Jessie, 05/30/2020
Add. 14,501	Add.14-501	1#270-271	CCCXXIV	324	Approx. 11c	191				Aaron	Drafted and edited	Jessie, 05/30/2020
Add. 14,502	Add.14-502	1#394-395	DXV	515	Approx. 12c	192				Anna	Drafted and edited	Lindsay, 03/27/2020
Add. 14,504	Add.14-504	1#280-282	CCCXXXVIII	338	Approx. 9c	194				Anna	Drafted and edited	Jessie, 05/14/20
Add. 14,505	Add.14-505	1#282-283	CCCXXXIX	339	Approx. 10c	195				Aaron	Drafted and edited	Jessie, 05/30/20
Add. 14,506, foll, 1-96, upper text	Add.14-506-foll-1-96-uppertext	1#368	CCCCLXIII	468	Approx. 11c	197				Peter	Drafted	
Add. 14,506, foll. 97-110	Add.14-506-foll.97-110	1#367	CCCCLX	460	Approx. 11c	198				Peter	Drafted	
Add. 14,506, foll. 111-118	Add.14-506-foll.111-118	1#366	CCCCLV	455	Approx. 9c	199				Peter	Drafted	
Add. 14,506, foll. 119-235	Add.14-506-foll.119-235	1#247-249	CCCX	310	Approx. 9c-10c	200				Peter	Drafted	
Add. 14,507	Add.14-507	1#283-285	CCCXL	340	Approx. 10c-11c	201				Anna	Drafted and edited	Lindsay 04/30/2020
Add. 14,509	Add.14-509	1#271-272	CCCXXV	325	Approx. 11c	203				Aaron	Drafted and edited	Jessie, 06//03/20
Add. 14,511	Add.14-511	1#249-250	CCCXI	311	Approx. 10c	205				Lindsay R.	Drafted and edited	Anna 3/26/20
Add. 14,513	Add.14-513	1#292	CCCXLVII	347	Approx. 9c-10c	207				Peter	Drafted	
Add. 14,518	Add.14-518	1#218	CCLXXXV	285	Approx. 9c-10c	212				Kim	Drafted	
Add. 14,519	Add.14-519	1#272-274	CCCXXVII	327	Approx. 11c-12c	213				Lindsay R.	Drafted and edited	Anna 5/2/20
Add. 14,521	Add.14-521	1#384	CCCCXCIX	499	Approx. 10c	215				Kim	Drafted	
Add. 14,522, foll. 1-3	Add.14-522-foll.1-3	1#324	CCCCXIII	413	Approx. 11c	217				Peter	Drafted	
Add. 14,522, foll. 4-26	Add.14-522-foll.4-26	1#246-247	CCCIX	309	Approx. 9c	218				Peter	Drafted	
Add. 14,522, foll. 27-36	Add.14-522-foll.27-36	1#233	CCXCIX	299	Approx. 10c-11c	219				Peter	Drafted	
Add. 14,522, foll. 37-45	Add.14-522-foll.37-45	2#831	DCCCXVI	816	Approx. 10c	220				Peter	Drafted	
Add. 14,522, fol. 46	Add.14-522-fol.46	2#450	DLXX	570	Approx. 9c-10c	221				Peter	Drafted	
Add. 14,523, foll. 1-7	Add.14-523-foll.1-7	1#204	CCLVI	256	Approx. 8c-9c	223				Kim	Drafted	
Add. 14,523, fol. 8	Add.14-523-fol.8	1#204	CCLVII	257	Approx. 8c-9c	224				Peter	Drafted	
Add. 14,523, fol. 9	Add.14-523-fol.9	1#204	CCLVIII	258	Approx. 10c	225				Peter	Drafted	
Add. 14,523, foll. 10-13	Add.14-523-foll.10-13	1#383-384	CCCCXCV	495	Approx. 8c	226				Peter	Drafted	
Add. 14,523, foll. 14-35	Add.14-523-foll.14-35	1#293	CCCXLIX	349	Approx. 9c-10c	227				Peter	Drafted	
Add. 14,523, foll. 36, 37	Add.14-523-foll.36-37	1#292-293	CCCXLVIII	348	Approx. 9c-10c	228				Peter	Drafted	
Add. 14,523, fol. 38 upper text	Add.14-523-fol.38uppertext	1#294	CCCLI	351	Approx. 10c	229				Peter	Drafted	
Add. 14,523, foll. 39-46 upper text	Add.14-523-foll.39-46uppertext	1#388	DIV	504	Approx. 10c-11c	230				Peter	Drafted	
Add. 14,523, foll. 47, 48	Add.14-523-foll.47-48	1#349	CCCCXXXIV	434	Approx. 11c	231				Peter	Drafted	
Add. 14,523, foll. 49-56	Add.14-523-foll.49-56	2#493	DCXXIV	624	Approx. 10c	232				Peter	Drafted	
Add. 14,524, foll. 3-6	Add.14-524-foll.3-6	1#72	CXVI	116	Approx. 11c-12c	236				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,527	Add.14-527	2#1036-1037	DCCCCIX	909	Approx. 11c	252				Seonghyun	Drafted and edited	Julia 4/15/2015
Add. 14,531	Add.14-531	2#738-740	DCCLXIX	769	Approx. 7c-8c	258				Kayla	Drafted	
Add. 14,534	Add.14-534	2#526-527	DCLXXV	675	Approx. 6c	261				Anna	Drafted and edited	Lindsay, 04/02/2020
Add. 14,537	Add.14-537	2#1017-1018	DCCCLXVIII	868	Approx. 7c-8c	264				Peter	Drafted	
Add. 14,539	Add.14-539	2#499	DCXXVII	627	Approx. 9c	266				Kim	Drafted	
Add. 14,540	Add.14-540	2#499-500	DCXXVIII	628	Approx. 9c	267				Peter	Drafted	
Add. 14,541, foll. 1-10	Add.14-541-foll.1-10	2#501-502	DCXXX	630	Approx. 9c	269				Peter	Drafted	
Add. 14,541, foll. 39-49	Add.14-541-foll.39-49	2#585-586	DCXCIX	699	Approx. 8c-9c	270				Peter	Drafted	
Add. 14,541, foll. 50, 51	Add.14-541-foll.50-51	2#450	DLXIX	569	Approx. 6c-7c	271				Peter	Drafted	
Add. 14,541, fol. 52	Add.14-541-fol.52	3#1040	DCCCCXII	912	Approx. 9c	272				Stephanie	Drafted	
Add. 14,542	Add.14-542	2#416-418	DXLVII	547	509	273				Justin	Drafted	
Add. 14,544	Add.14-544	2#421-422	DLII	552	Approx. 5c-6c	275				Justin	Drafted	
Add. 14,545	Add.14-545	2#422	DLIII	553	Approx. 6c	276				Justin	Drafted	
Add. 14,546	Add.14-546	2#718-719	DCCLVII	757	Approx. 7c	277				Justin	Drafted	
Add. 14,547	Add.14-547	2#431-434	DLVII	557	Approx. 9c	278				Justin	Drafted	
Add. 14,548	Add.14-548	2#434-436	DLVIII	558	790	279				Justin	Drafted	
Add. 14,549	Add.14-549	2#428-431	DLVI	556	Approx. 8c-9c	280				Justin	Drafted	
Add. 14,550	Add.14-550	2#443-444	DLXIV	564	Approx. 6c	281				Justin	Drafted	
Add. 14,551	Add.14-551	2#485	DCXI	611	Approx. 8c	282				Justin	Drafted	
Add. 14,552	Add.14-552	2#485-486	DCXII	612	Approx. 7c-8c	283				Justin	Drafted	
Add. 14,553	Add.14-553	2#489-490	DCXVIII	618	Approx. 6c-7c	284				Justin	Drafted	
Add. 14,554	Add.14-554	2#492	DCXXI	621	Approx. 9c	285				Justin	Drafted	
Add. 14,556	Add.14-556	2#487-488	DCXIV	614	Approx. 6c-7c	287				Justin	Drafted	
Add. 14,557	Add.14-557	2#719-721	DCCLVIII	758	Approx. 7c	288				Justin	Drafted	
Add. 14,558	Add.14-558	2#466-467	DLXXXIII	583	557	289				Justin	Drafted	
Add. 14,559	Add.14-559	2#468-269	DLXXXV	585	Approx. 6c	290				Justin	Drafted	
Add. 14,560	Add.14-560	2#467	DLXXXIV	584	Approx. 6c	291				Justin	Drafted	
Add. 14,561	Add.14-561	2#469	DLXXXVI	586	Approx. 6c-7c	292				Justin	Drafted	
Add. 14,562	Add.14-562	2#470-471	DLXXXVIII	588	Approx. 7c-8c	293				Justin	Drafted	
Add. 14,563	Add.14-563	2#471	DLXXXIX	589	Approx. 7c-8c	294				Justin	Drafted	
Add. 14,564	Add.14-564	2#473-474	DXCI	591	Approx. 6c-7c	295				Justin	Drafted	
Add. 14,565	Add.14-565	2#475-476	DXCIII	593	Approx. 6c-7c	296				Justin	Drafted	
Add. 14,566, foll. 1-28	Add.14-566-foll.1-28	2#476	DXCIV	594	Approx. 6c	298				Justin	Drafted	
Add. 14,566, foll. 29-112	Add.14-566-foll.29-112	2#476-477	DXCV	595	Approx. 6c-7c	299				Justin	Drafted	
Add. 14,567	Add.14-567	2#478-479	DXCVII	597	Approx. 6c	300				Justin	Drafted	
Add. 14,568	Add.14-568	2#405-406	DXXXI	531	599	301				Justin	Drafted	
Add. 14,569	Add.14-569	2#406	DXXXII	532	Approx. 8c	302				Justin	Drafted	
Add. 14,570	Add.14-570	2#406-407	DXXXIII	533	Approx. 5c-6c	303				Justin	Drafted	
Add. 14,571	Add.14-571	2#410-413	DXXXIX	539	519	304				Justin	Drafted	
Add. 14,572	Add.14-572	2#41	DXXXVIII	538	Approx. 6c	305				Justin	Drafted	
Add. 14,573	Add.14-573	2#413-414	DXL	540	Approx. 6c	306				Justin	Drafted	
Add. 14,574, foll. 1-19	Add.14-574-foll.1-19	2#407-408	DXXXV	535	Approx. 6c	308				Justin	Drafted	
Add. 14,574, foll. 20-33	Add.14-574-foll.20-33	2#408-409	DXXXVI	536	Approx. 5c-6c	309				Justin	Drafted	
Add. 14,574, foll. 34-40	Add.14-574-foll.34-40	2#508-509	DCXL	640	Approx. 6c-7c	310				Justin	Drafted	
Add. 14,575	Add.14-575	2#461-462	DLXXVI	576	Approx. 7c	311				Justin	Drafted	
Add. 14,576	Add.14-576	2#462-464	DLXXVII	577	Approx. 8c	312				Justin	Drafted	
Add. 14,584	Add.14-584	2#506-507	DCXXXVIII	638	Approx. 6c-7c	320				James	Drafted	
Add. 14,585	Add.14-585	2#502-503	DCXXXI	631	Approx. 7c	321				James	Drafted and edited	Justin, 4/6/2015
Add. 14,586	Add.14-586	2#503	DCXXXIII	633	Approx. 7c-8c	322				James	Drafted and edited	Justin, 4/6/2015
Add. 14,587	Add.14-587	2#517-524	DCLXXII	672	603	323				James	Drafted	
Add. 14,588	Add.14-588	2#806-807	DCCCIII	803	Approx. 9c-10c	324				James	Drafted	
Add. 14,594	Add.14-594	2#618-620	DCCXIX	719	Approx. 9c-10c	330				James	Drafted	
Add. 14,595	Add.14-595	2#530-531	DCLXXVIII	678	Approx. 6c-7c	331				James	Drafted	
Add. 14,596	Add.14-596	2#531-532	DCLXXX	680	Approx. 6c-7c	332				James	Drafted	
Add. 14,597	Add.14-597	2#648-651	DCCXXX	730	569	333				James	Drafted	
Add. 14,598	Add.14-598	2#731-732	DCCLXIV	764	Approx. 7c, 9c	334				James	Drafted	
Add. 14,599	Add.14-599	2#546-548	DCLXXXVI	686	569	335				James	Drafted	
Add. 14,600	Add.14-600	2#565-569	DCXCIII	693	Approx. 8c	336				Daniel	Drafted	
Add. 14,603	Add.14-603	2#586-587	DCC	700	Approx. 7c	339				Daniel	Drafted	
Add. 14,605	Add.14-605	2#715-717	DCCLV	755	653	341				James	drafted	
Add. 14,607	Add.14-607	2#683-684	DCCXLVII	747	Approx. 6c-7c	343				Jessie	Drafted and edited	Lindsay, 04/02/2020
Add. 14,608, foll. 1-97	Add.14-608-foll.1-97	2#733-734	DCCLXVI	766	Approx. 7c-8c	345				Peter	Drafted	
Add. 14,608, foll. 98-124	Add.14-608-foll.98-124	2#723-724	DCCLX	760	Approx. 7c	346				Peter	Drafted	
Add. 14,612	Add.14-612	2#696-701	DCCLIII	753	Approx. 6c-7c	350				Peter	Drafted	
