	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 14,690	1#205-207	CCLXI	CCCCLXV	CCLXI		Add. 17,272, foll. 100-105	1#296	CCCLVI	ccclvi	CCCLVI	356	356	Approx. 13c	1106				Peter	Drafted		
Add. 14,736, fol. 34	1#210	CCLXIX	CCCCXCVI	cclxix		Add. 14,736, foll. 53-55	1#296	CCCLVII	ccclvii	CCCLVII	357	357	Approx. 13c	665				Will Potter	Drafted		
Add. 14,736, fol. 33	1#210	CCLXVIII	CCCCXCV	cclxviii		Add. 17,252	1#296-297	CCCLVIII	ccclviii	CCCLVIII	358	358	Approx. 13c-14c	1044				Jessie	Drafted and edited	Lindsay 5/30/20	
Add. 17,269, foll. 81-88	1#213	CCLXXXI	DXLVII	cclxxxi		Add. 17,271	1#297-298	CCCLX	ccclx	CCCLX	360	360	Approx. 12c-13c	1099				Peter	Drafted		
Add. 25,874	1#213-214	CCLXXXII	DLXXIX	cclxxxii		Add. 17,272, foll. 75-99	1#298	CCCLXI	ccclxi	CCCLXI	361	361	Approx. 13c	1105				Peter	Drafted		
Harl. 5512	1#214-216	CCLXXXIII	DLXXXV	cclxxxiii		Add. 17,224, fol. 18	1#298	CCCLXII	ccclxii	#N/A	362	362	Approx. 13c	987				Tucker	Framework established for a later stage		
Add. 14,494	1#217-218	CCLXXXIV	CCL	found		(Add. 14,718)	1#298-299	CCCLXIII	ccclxiii	CCCLXIII	363	363	Approx. 13c	598				Lindsay R.	Drafted and edited	Anna 5/2/20	palimpsest
Add. 14,518	1#218	CCLXXXV	cclxx	CCLXXXV		Add. 14,718, upper text	1#298-299	CCCLXIII	ccclxiii	CCCLXIII	363	363	Approx. 13c	1428				Will Potter	Drafted	msParts, edit with full ms	See 598
Add. 14,493	1#219-223	CCLXXXVI	CCXLIX	CCLXXXVI		Add. 14,718, lower text	1#298-299	CCCLXIII	ccclxiii	CCCLXIII	363	363	Approx. 13c	1429				Will Potter	Drafted	msParts, edit with full ms	See 598
(Add. 14,496)	1#223-225	CCLXXXVII	CCLII	CCLXXXVII		Add. 17,231	1#299-301	CCCLXIV	CCCLXIV	CCCLXIV	364	364	1484	1014				Jessie	Drafted and edited	Lindsay 5/28/2020	Greek Syllables need added in
Add. 14,496, palimpsest upper	1#223-225	CCLXXXVII	DCLXIII	CCLXXXVII		Add. 14,525, foll. 11-24	1#302-303	CCCLXIX	CCCLXIX	#N/A	369	369	Approx. 10c-11c	244							
Add. 14,496, palimpsest lower 1	1#223-225	CCLXXXVII	DCLXIV	CCLXXXVII		Add. 14,736, foll. 61-63	1#301	CCCLXV	CCCLXV	CCCLXV	365	365	Approx. 15c	670				Will Potter	Drafted		
Add. 14,496, palimpsest lower 2	1#223-225	CCLXXXVII	DCLXV	CCLXXXVII		Add. 17,245	1#301-302	CCCLXVI	CCCLXVI	CCCLXVI	366	366	Approx. 13c	1034				Anna	Drafted and edited	Lindsay 5/29/2020	Check Arabic for accuracy
Add. 14,496, palimpsest lower 3	1#223-225	CCLXXXVII	DCLXVI	CCLXXXVII		Add. 17,156, foll. 16-31	1#302	CCCLXVII	CCCLXVII	#N/A	367	367	Approx. 10c	788							
Add. 17,222	1#143	CCX	DCCCLXXIV	CCX		Add. 17,216, foll. 26, 27	1#302	CCCLXVIII	CCCLXVIII	CCCLXVIII	368	368	Approx. 10c	915				Peter	Drafted		
Add. 14,495	1#227-228	CCXCI	CCLI	CCXCI		Add. 14,736, foll. 35-47	1#303	CCCLXX	CCCLXX	CCCLXX	370	370	Approx. 12c-13c	662				Will Potter	Drafted		
Add. 14,499	1#229-230	CCXCIII		CCXCIII		Add. 14,709, foll. 1-71	1#303	CCCLXXI	CCCLXXI	#N/A	371	371	1336	579							
(Add. 14,500)	1#230	CCXCIV		CCXCIV		Add. 17,218, fol. 3	1#303	CCCLXXII	CCCLXXII	#N/A	372	372	Approx. 9c	957				Tucker	Framework established for a later stage		
Add. 14,500, lower text	1#230	CCXCIV		CCXCIV		Add. 17,249	1#303-304	CCCLXXIII	CCCLXXIII	CCCLXXIII	373	373	Approx. 13c-14c	1041				Jessie	Drafted		
Add. 14,500, upper text	1#230	CCXCIV		CCXCIV		Add. 14,699	1#304-306	CCCLXXIV	CCCLXXIV	CCCLXXIV	374	374	1292	565				Lindsay R.	Drafted and edited	Jessie, 05/16/20	Need a check on the uri ids (confirm correct ephraim and jacob)
Add. 14,522, foll. 27-36	1#233	CCXCIX	cclxxvi	CCXCIX		Add. 14,717, foll. 103-130	1#307	CCCLXXIX	CCCLXXIX	CCCLXXIX	379	379	Approx. 13c-14c	597				Jacob	Drafted and edited	Jessie, 06/03/20	
Add. 14,498	1#230-231	CCXCV	CCLIV	CCXCV		Add. 14,700	1#306	CCCLXXV	CCCLXXV	CCCLXXV	375	375	1292	566				Lindsay R.	Drafted and edited	Jessie, 05/16/20	
Add. 14,497	1#231-232	CCXCVI	CCLIII	CCXCVI		Add. 17,224, foll. 1-17	1#306	CCCLXXVI	CCCLXXVI	#N/A	376	376	Approx. 13c	986				Tucker	Framework established for a later stage		
Add. 14,492	1#178-179	CCXLIII	CCXLVIII	CCXLIII		Add. 14,709, foll. 72-74	1#306	CCCLXXVII	CCCLXXVII	#N/A	377	377	1336	580							
Add. 14,491	1#179-181	CCXLIV	CCXLVII	CCXLIV		Add. 17,237	1#306-307	CCCLXXVIII	CCCLXXVIII	CCCLXXVIII	378	378	Approx. 13c-14c	1022				Anna	Drafted and edited	Lindsay 5/29/2020	
Add. 14,705	1#181-182	CCXLV	cccclxxVii	typo in wright		Add. 17,246, foll. 1-74	1#307-308	CCCLXXX	CCCLXXX	#N/A	380	380	1239	1036							
Add. 14,688	1#188-190	CCXLVII	CCCCLXII	CCXLVII		Add. 17,246, foll. 75-84	1#308	CCCLXXXI	CCCLXXXI	#N/A	381	381	1239	1037							
Add. 17,221	1#145	CCXVIII	DCCCLXXIII	CCXVIII		Add. 17,246, foll. 85-90	1#308	CCCLXXXII	CCCLXXXII	#N/A	382	382	Approx. 14c	1038							
Add. 14,485	1#146-149	CCXX	CCXLI	CCXX		Add. 14,708, foll. 52-121	1#308-309	CCCLXXXIII	CCCLXXXIII	#N/A	383	383	Approx. 14c	576							
(Add. 14,486)	1#149-152	CCXXI	CCXLII	CCXXI		Add. 14,708, foll. 122-161	1#309	CCCLXXXIV	CCCLXXXIV	#N/A	384	384	Approx. 14c	577							
Add. 14,486 upper text	1#149-152	CCXXI	DCLXXX	CCXXI		Add. 14,715, foll. 217-241	1#311-312	CCCLXXXIX	CCCLXXXIX	#N/A	389	389	Approx. 13c	590							
Add. 14,486, foll. 1, 3, 8 lower text	1#149-152	CCXXI	DCLXXXI	CCXXI		Add. 14,702	1#309-310	CCCLXXXV	CCCLXXXV	CCCLXXXV	385	385	Approx. 15c/1489	568				Lindsay R.	Drafted	Will, 02/03/2020	
Add. 14,487	1#152-154	CCXXII	CCXLIII	CCXXII		Add. 14,708, foll. 1-51	1#310-311	CCCLXXXVI	CCCLXXXVI	#N/A	386	386	Approx. 15c (late)	575							
Add. 14,487 upper text	1#152-154	CCXXII	DCLXXV	CCXXII		Add. 14,717, foll. 59-102	1#311	CCCLXXXVII	CCCLXXXVII	CCCLXXXVII	387	387	Approx. 13c	596				Jacob	Drafted and edited	Jessie, 06/03/20	
Add. 14,487 lower text	1#152-154	CCXXII	DCLXXVI	CCXXII		Add. 17,272, foll. 1-29	1#311	CCCLXXXVIII	CCCLXXXVIII	CCCLXXXVIII	388	388	Approx. 13c	1101				Peter	Drafted		
Add. 12,139	1#154-159	CCXXIV	X	CCXXIV		Egerton 703	1#237-239	CCCV	CCCV	CCCV	305	305	1683	1152				Jessie	Drafted	Lindsay	
Add. 14,687	1#172-173	CCXXIX	CCCCLXI	CCXXIX		Add. 14,515	1#240-243	CCCVI	#N/A	#N/A	306	306	893	209							
Add. 14,490 upper text	1#159-161	CCXXV	DCXLIV	CCXXV		Add. 17,190	1#243-244	CCCVII	CCCVII	CCCVII	307	307	893	846				Jessie	Drafted and edited	Lindsay 5/19/2020	Question on which way some Syriac text is supposed to be read for our meeting
Add 14,490 lower text	1#159-161	CCXXV	DCXLV	CCXXV		Add. 14,516	1#244-246	CCCVIII	CCCVIII	#N/A	308	308	Approx. 9c	210							
Add. 14,689	1#167-169	CCXXVII	CCCCLXIII	CCXXVII		Add. 14,506, foll. 119-235	1#247-249	CCCX	CCCX	CCCX	310	310	Approx. 9c-10c	200				Peter	Drafted		
Add. 14,736, foll. 13-21	1#174	CCXXXI	CCCCXCIII	CCXXXI		Add. 14,667, foll. 74, 75	1#312	CCCXC	CCCXC	#N/A	390	390	Approx. 11c	481							
Add. 14,635, foll. 21-24	1#176	CCXXXVII	CCCLXXXV	CCXXXVII		Add. 14,667, fol. 43	1#312	CCCXCI	CCCXCI	#N/A	391	391	Approx. 12c	469							
Add. 17,213, fol. 40	1#176	CCXXXVIII	CLII	CCXXXVIII		Add. 17,241	1#312	CCCXCII	CCCXCII	CCCXCII	392	392	Approx. 13c	1028				Jacob	Drafted		
Add. 14,459, foll. 67-169	1#67-68	CI	CCIII	CI		Add. 14,704	1#312-313	CCCXCIII	CCCXCIII	CCCXCIII	393	393	Approx. 13c	570				Lindsay R.	Drafted and edited	Jessie, 05/16/20	
Add. 14,459, fol. 74	1#68	CI	DXCVIII	CI		Add. 14,720, foll. 1-111	1#313	CCCXCIV	CCCXCIV	#N/A	394	394	Approx. 13c	601							
Add. 14,461, foll. 108-212	1#68	CII	CCVII	CII		Add. 14,736, foll. 64, 65	1#315-316	CCCXCIX	CCCXCIX	CCCXCIX	399	399	1492	671				Will Potter	Drafted		
Add. 14,669, foll. 29-33	1#68-69	CIII	CCCCXXIV	CIII		Add. 17,250	1#313-314	CCCXCV	CCCXCV	CCCXCV	395	395	Approx. 13c	1042				Jessie	Drafted		
Add. 14,669, foll. 27, 28	1#69	CIV	CCCCXXIII	CIV		Add. 17,239, foll. 16-60	1#314	CCCXCVI	CCCXCVI	#N/A	396	396	1518	1026							
Add. 17,224, foll. 37-42	1#69-70	CIX	DCCCLXXVII	CIX		Add. 17,261, foll. 67-149	1#314	CCCXCVII	CCCXCVII	CCCXCVII	397	397	Approx. 16c	1077				Peter	Drafted		
Add. 14,691, foll. 110-114	1#95	CL	CCCCLXVII	cl		Add. 14,737, foll. 55-58	1#314	CCCXCVIII	CCCXCVIII	#N/A	398	398	Approx. 13c-14c	681							
Add. 17,224, foll. 73, 74	1#95	CLI	DCCCLXXXIII	cli		Add. 14,511	1#249-250	CCCXI	CCCXI	CCCXI	311	311	Approx. 10c	205				Lindsay R.	Drafted and edited	Anna 3/26/20	
Add. 14,738, foll. 8, 9	1#95-96	CLII	DXI	CLII		Add. 14,512	1#250-251	CCCXII	CCCXII	CCCXII	312	312	Approx. 10c	1402				Prince	Drafted		
Add. 17,228, foll. 1-37	1#96	CLIII	DCCCLXXXVIII	cliii		(Add. 12,145)	1#251-254	CCCXIII	CCCXIII	CCCXIII	313	313	Approx. 10c	20				Anna	Drafted and edited	Will, 01/31/2020	Large portions of this manuscript are in pamplisest, as per last line. Need help encoding
Add. 12,142, foll. 1-73	1#97-98	CLIV	XIV	found		Add. 12,145 upper text	1#251-254	CCCXIII	CCCXIII	CCCXIII	313	313	Approx. 10c	1440				Will Potter	Drafted	msParts, edit with full ms	cf. 20
Add. 14,484, foll. 9-11	1#99-100	CLIX	CCXXXIX	CLIX		Add. 12,145 lower text	1#251-254	CCCXIII	CCCXIII	CCCXIII	313	313		1441				Will Potter	Drafted	msParts, edit with full ms	cf. 20
Add. 14,484, foll. 9-11	1#99-100	CLIX	DCVII	CLIX		Add. 14,667, foll. 70, 71	1#254	CCCXIV	CCCXIV	#N/A	314	314	Approx. 10c	479							
Add. 14,446	1#98	CLV	CXCI	CLV		Add. 12,146	1#258-261	CCCXIX	CCCXIX	#N/A	319	319	1007	21				Jessie	In Progress		
Add. 14,447	1#98	CLVI	CXCII	CLVI		Add. 14,507	1#283-285	CCCXL	cccxl	CCCXL	340	340	Approx. 10c-11c	201				Anna	Drafted and edited	Lindsay 04/30/2020	Two palimpsest manuscripts at the end needs to be encoded
Add. 14,484, foll. 12-47	1#98-99	CLVII	CCXL	fixed		Add. 14,507 upper text	1#283-285	CCCXL	cccxl	CCCXL	340	340	Approx. 10c-11c	1444				Will Potter	Drafted	msParts, edit with full ms	cf. 201
Add. 14,484, foll. 1-8	1#99	CLVIII	CCXXXVIII	CLVIII		Add. 14,507, foll. 139-205 lower text	1#283-285	CCCXL	cccxl	CCCXL	340	340	Approx. 7c-8c	1445				Will Potter	Drafted	msParts, edit with full ms	cf. 201
Add. 17,218, fol. 90	1#100	CLX	DCCCLXX	CLX		Add. 14,507, foll. 1-108, 113-138, 206-212 lower text	1#283-285	CCCXL	cccxl	CCCXL	340	340	Approx. 9c-10c	1446				Will Potter	Drafted	msParts, edit with full ms	cf. 201
Add. 12,138	1#101-108	CLXI	IX	found		Add. 14,695	1#285-286	CCCXLI	cccxli	CCCXLI	341	341	Approx. 11c-12c	561				Anna	Drafted and edited	Jessie, 05/21/20	
Add. 14,482	1#112-113	CLXV	CCXXXV	CLXV		Add. 14,697	1#286-288	CCCXLII	cccxlii	CCCXLII	342	342	Approx. 12c (late)	563				Anna	Drafted and edited	Jessie, 05/14/20	
Add. 14,435	1#122-123	CLXXI		CLXXI		Add. 14,698	1#288-289	CCCXLIII	cccxliii	CCCXLIII	343	343	Approx. 12c-13c	564				Anna	Drafted and edited	Jessie, 05/16/20	
Add. 14,674, foll. 1-78	1#127-128	CLXXX	CCCCXLVII	CLXXX		Add. 14,696	1#289-290	CCCXLIV	cccxliv	CCCXLIV	344	344	Approx. 13c	562				Anna	Drafted and edited	Jessie, 05/14/20	
Add. 14,674, foll. 79-126	1#128	CLXXXI	CCCCXLVIII	CLXXXI		Add. 14,523, foll. 14-35	1#293	CCCXLIX	cccxlix	CCCXLIX	349	349	Approx. 9c-10c	227				Peter	Drafted		
Add. 14,676, foll. 1-42	1#128	CLXXXII	CCCCLI	CLXXXII		(Add. 17,243)	1#290-291	CCCXLV	CCCXLV	CCCXLV	345	345	Approx. 13c	1032				Anna	Drafted and edited	Will, 03/05/2020	msParts added (see 1423 and 1422)
Add. 17,268	1#129	CLXXXIV	DXLIII	CLXXXIV		Add. 17,243, foll. 1-5, 7-174	1#290-291	CCCXLV	CCCXLV	CCCXLV	345	345	Approx. 13c	1422				Will Potter	Drafted	msParts, edit with full ms	cf. 1032
Add. 14,678	1#132-133	CLXXXIX	CCCCLIV	CLXXXIX		Add. 17,243, foll. 6 (fly-leaf)	1#290-291	CCCXLV	CCCXLV	CCCXLV	345	345	Approx. 13c	1423				Will Potter	Drafted	msParts, edit with full ms	cf. 1032
Add. 14,675	1#129-131	CLXXXVI	CCCCXLIX	CLXXXVI		Add. 14,712	1#291-292	CCCXLVI	cccxlVi	CCCXLVI	346	346	Approx. 13c	584				Lindsay R.	Drafted	Jessie	
Add. 14,677	1#131-132	CLXXXVII	CCCCLIII	fixed		Add. 14,513	1#292	CCCXLVII	cccxlvii	CCCXLVII	347	347	Approx. 9c-10c	207				Peter	Drafted		
Add. 14,673	1#132	CLXXXVIII	CCCCXLV	found		Add. 14,523, foll. 36, 37	1#292-293	CCCXLVIII	cccxlviii	CCCXLVIII	348	348	Approx. 9c-10c	228				Peter	Drafted		
Add. 14,666, fol. 48	1#69	CV	CCCCVIII	CV		Add. 14,525, foll. 25-27	1#254	CCCXV	CCCXV	#N/A	315	315	Approx. 10c-11c	245							
Add. 14,466, foll. 1-10	1#69	CVI	CCXIII	CVI		Add. 14,525, foll. 28-45	1#254	CCCXVI	CCCXVI	#N/A	316	316	Approx. 10c-11c	246							
Add. 14,666, fol. 47	1#69	CVII	CCCCVII	CVII		Add. 14,525, foll. 46-55	1#254	CCCXVII	CCCXVII	#N/A	317	317	Approx. 10c-11c	247							
Add. 14,669, fol. 26	1#69	CVIII	CCCCXXII	CVIII		Add. 14,503	1#254-258	CCCXVIII	CCCXVIII	#N/A	318	318	Approx. 10c-11c	193							
Add. 14,464	1#70-71	CX	CCX	CX		Add. 12,147	1#261-264	CCCXX	CCCXX	CCCXX	320	320	1006	22				Jessie	Drafted and edited	Will, 02/03/2020	
Add. 17,220	1#133-134	CXC	DCCCLXXII	CXC		Add. 12,148	1#264-266	CCCXXI	CCCXXI	CCCXXI	321	321	1007	23				Jessie	Drafted		
Add. 17,219	1#134-136	CXCI	DCCCLXXI	CXCI		Add. 12,149	1#266-269	CCCXXII	CCCXXII	CCCXXII	322	322	1006	24				Jessie	Drafted and edited	Will, 03/12/2020	
Add. 14,672	1#136	CXCIII	CCCCXLIV	CXCIII		Add. 18,820, foll. 17-55	1#269-270	CCCXXIII	CCCXXIII	#N/A	323	323	Approx. 11c-12c	1133							
Add. 17,223	1#137	CXCVII	DCCCLXXV	CXCVII		Add. 14,501	1#270-271	CCCXXIV	cccxxiv	CCCXXIV	324	324	Approx. 11c	191				Aaron	Drafted and edited	Jessie, 05/30/2020	
Add. 26,552	1#137-138	CXCVIII	DLXXXI	CXCVIII		Add. 14,737, foll. 77-84	1#274-275	CCCXXIX	cccxxix	#N/A	329	329	1175	686							
Add. 17,224, fol. 66	1#71	CXI	DCCCLXXX	CXI		Add. 14,509	1#271-272	CCCXXV	CCCXXV	CCCXXV	325	325	Approx. 11c	203				Aaron	Drafted and edited	Jessie, 06//03/20	
Add. 17,119	1#71-72	CXII	LXIII	CXII		Add. 17,216, foll. 15-25	1#272	CCCXXVI	CCCXXVI	CCCXXVI	326	326	Approx. 11c	914				Peter	Drafted		
Add. 14,669, fol. 37	1#72	CXIII	CCCCXXVI	CXIII		Add. 14,519	1#272-274	CCCXXVII	cccxxvII	CCCXXVII	327	327	Approx. 11c-12c	213				Lindsay R.	Drafted and edited	Anna 5/2/20	
Add. 14,668, foll. 30, 31	1#72	CXIV	CCCCXVIII	CXIV		Add. 17,218, fol. 57	1#274	CCCXXVIII	cccxxviii	#N/A	328	328	Approx. 11c-12c	969				Tucker	Framework established for a later stage		
Add. 14,669, foll. 57-59	1#90	CXL	CCCCXXVIII	CXL		Add. 14,719	1#275-276	CCCXXX	cccxxx	#N/A	330	330	1184	599							
Add. 14,478	1#90-92	CXLI	CCXXXI	CXLI		Add. 14,737, foll. 71, 72	1#276	CCCXXXI	cccxxxi	#N/A	331	331	Approx. 12c	684							
Add. 14,666, fol. 56	1#92	CXLII	CCCCXI	CXLII		Add. 18,820, foll. 1-16	1#276	CCCXXXII	cccxxxii	#N/A	332	332	Approx. 12c	1132							
Add. 14,468, foll. 1-20	1#92-93	CXLIII		cxliii		Add. 17,235	1#276-277	CCCXXXIII	cccxxxiii	CCCXXXIII	333	333	Approx. 13c (early)	1020				Anna	Drafted and edited	Lindsay 5/28/2020	Arabic needs checked for accuracy
Add. 14,666, foll. 51-55	1#93	CXLIV	CCCCX	CXLIV		Add. 14,707	1#277-278	CCCXXXIV	cccxxxiV	CCCXXXIV	334	334	Approx. 13c (early)	573				Anna	Drafted and edited	Jessie, 05/21/20	Coptic needed where percentage signs are in the document; arabic needs checking
Add. 14,666 fol. 52	1#93	CXLIV	DCIV	CXLIV		Add. 14,505	1#282-283	CCCXXXIX	cccxxxix	CCCXXXIX	339	339	Approx. 10c	195				Aaron	Drafted and edited	Jessie, 05/30/20	
Add. 17,224, foll. 71, 72	1#95	CXLIX	DCCCLXXXII	cxlix		Add. 14,701	1#278-279	CCCXXXV	cccxxxv	#N/A	335	335	1263	567							
Add. 17,123	1#93	CXLV	LXVII	CXLV		Add. 14,738, foll. 37-60	1#279	CCCXXXVI	cccxxxvi	#N/A	336	336	Approx. 13c	702				Daniel	Framework established for a later stage		
Add. 14,468, foll. 21-33	1#93	CXLVI		CXLVI		Add. 14,739, foll. 15-18	1#28	CCCXXXVII	cccxxxvii	#N/A	337	337	Approx. 13c	724							
Add. 17,227	1#94-95	CXLVII	DCCCLXXXVI	CXLVII		Add. 14,504	1#280-282	CCCXXXVIII	cccxxxviii	CCCXXXVIII	338	338	Approx. 9c	194				Anna	Drafted and edited	Jessie, 05/14/20	There is a question about the dots in the word docx which is tied with the syriac. Also on the mS item around line 233, I put variations of the name Cyriacus in the same element. 
Add. 17,224, foll. 67-70	1#95	CXLVIII	DCCCLXXXI	CXLVIII		Add. 17,257, foll. 95-102	1#138-139	CCI	CCI	#N/A	201	201	Approx. 15c	1064				Daniel	Framework established for a later stage		
Add. 14,666, foll. 49, 50	1#72	CXV	CCCCIX	CXV		Add. 25,878, foll. 71-87	1#139	CCII	CCII	#N/A	202	202	Approx. 15c	1149							
Add. 14,524, foll. 3-6	1#72	CXVI	CCXC	CXVI		Add. 15,443	1#139-141	CCIII	CCIII	#N/A	203	203	1826	728							
Add. 17,225	1#72-73	CXVII	DCCCLXXXIV	CXVII		Add. 14,666, foll. 13-32	1#141	CCIV	CCIV	#N/A	204	204	Approx. 12c	452				Daniel	Framework established for a later stage		
Add. 14,466, foll. 18-42	1#73	CXVIII	CCXV	CXVIII		Add. 17,256, foll. 83-132	1#142-143	CCIX	CCIX	#N/A	209	209	1251	1052							
Add. 14,469	1#75-76	CXX	CCXX	CXX		Add. 14,488	1#194-200	CCL	CCL	CCL	250	250	Approx. 11c –prob.1023	178				Jessie	Drafted and edited	Lindsay 05/27/2020	Arabic I typed in needs thoroughly checked as many of the characters from the Wright manual are different than standard written letters. Also some of the syriac needs checked especially in the additions where one section of syriac text got broken up by footnotes in the word document.
Add. 14,474	1#76-77	CXXI	CCXXVII	CXXI		Add. 14,489	1#200-202	CCLI	CCLI	CCLI	251	251	1046	179				Anna	Drafted and edited	Lindsay 04/30/2020	Greek needs checked; The Arabic I typed in probably should be checked too.
Add. 14,680	1#77-78	CXXII	CCCCLVI	CXXII		Add. 17,218, foll. 4-22	1#202	CCLII	CCLII	#N/A	252	252	Approx. 11c	958				Tucker	Framework established for a later stage		
Add. 14,681	1#78-79	CXXIII	CCCCLVII	CXXIII		Add. 14,667, foll. 72, 73	1#202-203	CCLIII	CCLIII	#N/A	253	253	Approx. 11c	480							
Add. 17,226	1#79	CXXIV	DCCCLXXXV	CXXIV		Add. 14,664, foll, 1-17, 20, 21	1#203	CCLIV	CCLIV	CCLIV	254	254	Approx. 10c-11c	433				Tucker	Drafted and edited	Tucker, 2/21/2014	
Add. 18,812	1#83	CXXIX	DLXIV	CXXIX		Add. 14,664, foll 3-7, 9-17	1#203	CCLIV	CCLIV	CCLIV	254	254	Approx. 13c	1187				Tucker	Drafted and edited	Tucker, 2/21/2014	
Add. 14,473, foll. 1-139	1#79-80	CXXV	CCXXV	CXXV		Add. 14,524, fol. 1	1#204	CCLIX	CCLIX	#N/A	259	259	Approx. 10c	234				Tucker	Framework established for a later stage		
Add. 17,120	1#8	CXXVI	LXIV	CXXVI		Add. 14,669, foll. 20, 21	1#204	CCLV	#N/A	#N/A	255	255	Approx. 6c	499				Tucker	Framework established for a later stage		
Add. 17,121	1#80-81	CXXVII	LXV	CXXVII		Add. 14,523, foll. 1-7	1#204	CCLVI	CCLVI	CCLVI	256	256	Approx. 8c-9c	223				Kim	Drafted		
Add. 14,472	1#81-82	CXXVIII	CCXXIII	CXXVIII		Add. 14,523, fol. 8	1#204	CCLVII	CCLVII	CCLVII	257	257	Approx. 8c-9c	224				Peter	Drafted		
Add. 14,738, foll. 6, 7	1#83	CXXX	DX	CXXX		Add. 14,523, fol. 9	1#204	CCLVIII	CCLVIII	CCLVIII	258	258	Approx. 10c	225				Peter	Drafted		
Add. 17,228, foll. 38-64	1#83	CXXXI	DCCCLXXXIX	CXXXI		Add. 14,524, fol. 2	1#204	CCLX	CCLX	#N/A	260	260	Approx. 10c	235				Tucker	Framework established for a later stage		
Add. 14,473, foll. 140-148	1#83-84	CXXXII	CCXXVI	CXXXII		Add. 14,690	1#205-207	CCLXI	CCLXI	CCLXI	261	261	1182	548				Anna	Drafted and edited	Jessie, 05/14/20	
Add. 14,476	1#84	CXXXIII	CCXXIX	CXXXIII		Add. 14,737, foll. 51, 52	1#207	CCLXII	CCLXII	#N/A	262	262	Approx. 12c-13c	679							
(Add. 14,480)	1#84-85	CXXXIV	CCXXXIII	CXXXIV		Add. 17,229, foll. 1-47	1#207-208	CCLXIII	CCLXIII	#N/A	263	263	1218	1009							
Add. 14,481	1#9	CXXXIX	CCXXXIV	CXXXIX		Add. 14,691, foll. 1-109	1#208-209	CCLXIV	CCLXIV	#N/A	264	264	1230	550				Tucker	Framework established for a later stage		
Add. 14,479	1#86	CXXXV	CCXXXII	CXXXV		Add. 14,736, fol. 34	1#210	CCLXIX	cclxix	CCLXIX	269	269	Approx. 13c	661				Will Potter	Drafted		
Add. 14,475	1#86-87	CXXXVI	CCXXVIII	CXXXVI		Add. 17,229, foll. 48-77	1#209	CCLXV	CCLXV	#N/A	265	265	Approx. 13c	1010							
Add. 17,122	1#87-88	CXXXVII	LXVI	CXXXVII		Add. 14,694, foll. 1-43	1#209	CCLXVI	CCLXVI	#N/A	266	266	Approx. 13c	559							
Add. 14,477	1#88-89	CXXXVIII	CCXXX	CXXXVIII		Add. 14,694, foll. 44-106	1#209-210	CCLXVII	CCLXVII	#N/A	267	267	Approx. 13c	560							
Add. 14,603	2#586-587	DCC	cccliv	found		Add. 14,736, fol. 33	1#210	CCLXVIII	cclxviii	CCLXVIII	268	268	Approx. 13c	660				Will Potter	Drafted		
Add. 14,736, fol. 3	2#1026	DCCCCIV	cccclxxxviii	DCCCCIV		Add. 14,737, foll. 18-34	1#21	CCLXX	cclxx	#N/A	270	270	Approx. 13c	676							
Add. 14,527	2#1036-1037	DCCCCIX	CCXCI	DCCCCIX		Add. 14,738, foll. 23-34	1#210	CCLXXI	CCLXXI	#N/A	271	271	Approx. 13c	700				Daniel	Framework established for a later stage		
Add. 14,733	3#1139-1140	DCCCCLXI	cccclxxxv	DCCCCLXI		Add. 14,693, foll. 1-141	1#210-211	CCLXXII	cclxxii	#N/A	272	272	Approx. 13c-14c	556							
(Add. 17,265)	3#1140-1141	DCCCCLXII	DXXXV	DCCCCLXII		Add. 14,692, foll. 25-99	1#211-212	CCLXXIII	cclxxiii	#N/A	273	273	1347	554							
Add. 17,265, foll. 2-105	3#1140-1141	DCCCCLXII	DCLVII	DCCCCLXII		Add. 14,693, foll. 142-184	1#212	CCLXXIV	cclxxiv	#N/A	274	274	Approx. 14c	557							
Add. 17,265, foll. 1 (fly-leaf)	3#1140-1141	DCCCCLXII	DCLVIII	DCCCCLXII		Add. 14,738, foll. 35, 36	1#213	CCLXXIX	cclxxix	#N/A	279	279	Approx. 14c	701				Daniel	Framework established for a later stage		
Add. 17,267, foll. 50-75	3#1146	DCCCCLXIV	DXLII	check		Add. 14,738, foll. 11-22	1#212	CCLXXV	CCLXXV	#N/A	275	275	Approx. 14c	699				Daniel	Framework established for a later stage		
Add. 17,216, fol. 45	3#1147	DCCCCLXVI	DXLVII	check		Add. 14,737, foll. 35-49	1#212	CCLXXVI	cclxxvi	#N/A	276	276	Approx. 14c	677							
Add. 17,272, foll. 64-67	3#1148	DCCCCLXVIII	DLIV	check		Add. 14,737, fol. 50	1#212	CCLXXVII	cclxxvii	#N/A	277	277	Approx. 14c	678							
Add. 17,201, foll. 22-25	3#1149	DCCCCLXXIII	CXXXVII	check		Add. 17,239, foll. 1-15	1#212-213	CCLXXVIII	CCLXXVIII	#N/A	278	278	Approx. 14c	1025							
