	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 14,522, foll. 1-3	1#324	CCCCXIII	cclxxiv	CCCCXIII		Add. 17,137 foll. 6-11 (palim.)	1#369-370	CCCCLXV	CCCCLXV	#N/A				1186							
Add. 17,244	1#354	CCCCXL	DCCCC	CCCCXL		Add. 17,216, foll. 34-42	1#37	CCCCLXVI	CCCCLXVI	CCCCLXVI	#N/A	466	Approx. 12c	918				Peter	Drafted		
Add. 17,251	1#354-355	CCCCXLI	DCCCCVI	CCCCXLI		Add. 14,703	1#370-371	CCCCLXVII	CCCCLXVII	CCCCLXVII	#N/A	467	Approx. 12c-13c	569				Lindsay R.	Drafted and edited	Jessie, 05/16/20	
Add. 17,254	1#355-356	CCCCXLII	DCCCCVIII	CCCCXLII		Add. 17,132	1#371	CCCCLXVIII	CCCCLXVIII	#N/A	#N/A	468	Approx. 12c-13c	761				Jessie	In Progress		
Add. 17,259	1#356-357	CCCCXLIII	DXXXVII	CCCCXLIII		Add. 14,716, foll. 79-166	1#374-375	CCCCLXX	CCCCLXX	#N/A	#N/A	470	Approx. 13c	593							
Add. 17,269, foll. 39-80	1#357	CCCCXLIV	DXLVI	CCCCXLIV		Add. 14,724, foll. 1-113	1#375-376	CCCCLXXI	CCCCLXXI	#N/A	#N/A	471	Approx. 13c	612							
Add. 17,261, foll. 9-66	1#358-359	CCCCXLIX	DXXXI	CCCCXLIX		Add. 14,721	1#376-377	CCCCLXXII	CCCCLXXII	#N/A	#N/A	472	Approx. 13c	603							
Add. 17,261, foll. 1-8	1#357	CCCCXLV	DXXX	CCCCXLV		Add. 14,723, foll. 1, 2	1#377	CCCCLXXIII	cccclxxiii	#N/A	#N/A	473	Approx. 13c	608							
Add. 17,255	1#357-358	CCCCXLVII	DCCCCIX	CCCCXLVII		Add. 14,737, foll. 59-64	1#377	CCCCLXXIV	cccclxxiV	#N/A	#N/A	474	Approx. 13c	682							
Add. 14,710	1#325	CCCCXV	cccclxxix	CCCCXV		Add. 14,722, foll. 62-77	1#377	CCCCLXXIX	cccclxxix	#N/A	#N/A	479	Approx. 14c	606							
Add. 17,240	1#326-327	CCCCXVII	DCCCXCVII	CCCCXVII		Add. 14,737, foll. 73-76	1#377	CCCCLXXV	cccclxxV	#N/A	#N/A	475	Approx. 13c	685							
Add. 21,031	1#327-328	CCCCXVIII	DLXXII	CCCCXVIII		Add. 14,738, foll. 61-63	1#377	CCCCLXXVI	cccclxxVi	#N/A	#N/A	476	Approx. 13c	703				Daniel	Framework established for a later stage		
Add. 17,134	1#330-339	CCCCXXI	LXXI	CCCCXXI		Add. 14,738, foll. 79-81	1#377	CCCCLXXVII	cccclxxVii	#N/A	477	477	Approx. 13c	706				Daniel	Framework established for a later stage		
