Add. 14,433	1#126	CLXXVII	177	Approx. 10c	89
(Add. 14,434)					90
Add. 14,434, foll. 1-79	1#35-36	LIV	54	Approx. 8c (early)	91
Add. 14,434, foll. 80-128	1#36-37	LV	55	Approx. 8c	92
Add. 14,435	1#122-123	CLXXI	171	Approx. 9c	93
(Add. 14,436)					94
Add. 14,436, foll. 1-76	1#119-120	CLXIX	169	Approx. 8c-9c	95
Add. 14,436, foll. 77-129	1#126-127	CLXXVIII	178	Approx. 10c	96
(Add. 14,437)					97
Add. 14,437, foll. 1-46	1#31	L	50	Approx. 8c	98
Add. 14,437, foll. 47-124	1#33-34	LIII	53	Approx. 8c	99
(Add. 14,438)					100
Add. 14,438, foll. 1-49	1#10	XII	12	Approx. 6c	101
Add. 14,438, foll. 53-101	1#13-14	XXI	21	Approx. 6c	102
Add. 14,439	1#13	XIX	19	Approx. 6c-7c	103
Add. 14,440	1#10-11	XVI	16	Approx. 10c-11c	104
Add. 14,441	1#39	LXI	61	719	105
(Add. 14,442)					106
Add. 14,442, foll. 1-46	1#28-29	XLVIII	48	Approx. 7c	107
Add. 14,442, foll. 47-65	1#15	XXIII	23	Approx. 6c-7c	108
(Add. 14,443)					109
Add. 14,443, foll. 1-34	1#17	XXVI	26	Approx. 6c	110
Add. 14,443, foll. 35-71	1#18	XXX	30	Approx. 6c-7c	111
Add. 14,443, foll. 72-98	1#18	XXXI	31	Approx. 6c-7c	112
Add. 14,443, foll. 99-144	1#27	XLII	42	Approx. 6c	113
(Add. 14,444)					114
Add. 14,444, foll. 1-24	1#6	VI	6	Approx. 6c-7c	115
Add. 14,444, foll. 25-38	1#8	X	10	Approx. 6c	116
(Add. 14,445)					117
Add. 14,446	1#98	CLV	155	Approx. 6c-7c	118
Add. 14,447	1#98	CLVI	156	Approx. 10c	119
Add. 14,448	1#41-42	LXIV	64	699-700	120
Add. 14,449	1#46-47	LXIX	69	Approx. 6c-7c	121
Add. 14,450	1#55	LXXIX	79	Approx. 7c	122
Add. 14,451, foll. 23-83 (new 1-61)	1#62-63	LXXXVIII	88	Approx. 8c	123
Add. 14,451 (bis)	1#73-75	CXIX	119	Approx. 5c (late)	124
(Add. 14,452)					125
Add. 14,453	1#44-45	LXVI	66	Approx. 5c-6c	126
Add. 14,454	1#62	LXXXVII	87	Approx. 6c-7c	127
Add. 14,455	1#45	LXVII	67	Approx. 6c	128
Add. 14,456	1#55-57	LXXX	80	Approx. 8c	129
(Add. 14,457)					130
Add. 14,458	1#47-48	LXXI	71	Approx. 6c-7c	131
(Add. 14,459)					132
Add. 14,459, foll. 1-66	1#64	XC	90	Approx. 5c	133
Add. 14,459, foll. 67-169	1#67-68	CI	101	530-540	134
Add. 14,460	1#52-53	LXXVI	76	600	135
(Add. 14,461)					136
