Label,Syriaca_Headword,See_Also,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_12,Map_13,Map_14,Maps_CitedRange,Index_CitedRange
Ani,Ani,,syriaca.org/place/4005,1,2,,,,,,,,,,,,,"1, 2",824
Anjur ,Anjur ,Thozhiyur,syriaca.org/place/4516,,,,,,,,,,,,12,,,12,824
Ankara,Ankara,Ancyra,syriaca.org/place/494,,2,,,,,,,,,,,,,2,824
Anti-Lebanon Mountains,Anti-Lebanon Mountains,,syriaca.org/place/4524,,,,,7,,,,,,,,,,7,825
Antioch,Antioch,,syriaca.org/place/10,1,2,3,,,,,,,,,,,,"1, 2, 3",825
Anuradhapura ,Anuradhapura ,,syriaca.org/place/4521,,,,,,,,,,,,12,,,12,825
Apamea,Apamea,,syriaca.org/place/11,1,,3,,,,,,,,,,,,"1, 3",825
Aprah,Aprah,Farah,syriaca.org/place/4226,,,,,,,,,9,10,,,,,"9, 10",825
Aq-Beshim,Aq-Beshim,Suyab,syriaca.org/place/4279,,,,,,,,,,10,,,,,10,825
Aqsu,Aqsu,,syriaca.org/place/4281,,,,,,,,,,10,11,,,,"10, 11",825
Arabia,Arabia,,syriaca.org/place/716,,,,,,6,,,9,,,,,,"6, 9",825
Arabian Sea,Arabian Sea,,syriaca.org/place/4338,,,,,,,,,,,11,,,,11,825
Araḏin,Araḏin,,syriaca.org/place/256,,,,,,,,,,,,,,14,14,825
Aral Sea,Aral Sea,,syriaca.org/place/4282,,,,,,,,,,10,11,,,,"10, 11",825
Araxes River,Araxes River,,syriaca.org/place/4006,1,2,,,,,7,,,,,,,,"1, 2, 7",825
Arbel,Arbel,"Arbela, Erbil",syriaca.org/place/13,,,,,,,,,,,,,,14,14,825
Arbela,Arbela,"Arbel, Erbil",syriaca.org/place/13,1,2,,,,,7,,,,,,,,"1, 2, 7",825
Ardabil,Ardabil,Adurbadagan,syriaca.org/place/798,1,2,,,,,,,9,,,,,,"1, 2, 9",825
Armenia,Armenia,,syriaca.org/place/576,1,2,,,,,7,,9,,,,,,"1, 2, 7, 9",825
Arsamosata,Arsamosata,Shimshaṭ,syriaca.org/place/286,1,2,,,,,7,,,,,,,,"1, 2, 7",825
Artaxata,Artaxata,,syriaca.org/place/4007,1,,,,,,,,,,,,,,1,825
Arwad,Arwad,,syriaca.org/place/4062,,2,3,,,,,,,,,,,,"2, 3",825
Arzanene,Arzanene,,syriaca.org/place/673,,,,,,,,,,,,,,14,14,825
Arzon,Arzon,Arzun,syriaca.org/place/285,,,,,,,7,,,,,,,,7,825
Arzun,Arzun,Arzon,syriaca.org/place/285,1,2,,,,,7,,,,,,,14,"1, 2, 7, 14",825
Ascalon,Ascalon,,syriaca.org/place/674,1,2,,,5,,,,,,,,,,"1, 2, 5",825
Ashtishat,Ashtishat,,syriaca.org/place/4008,1,,,,,,7,,,,,,,,"1, 7",825
Ashur,Ashur,,syriaca.org/place/4009,1,,,,,,7,8,,,,,,,"1, 7, 8",825
Asia Minor,Asia Minor,Anatolia,syriaca.org/place/504,,2,3,,,,,,,,,,,,"2, 3",825
Astarabad,Astarabad,,syriaca.org/place/4228,,,,,,,,,9,,,,,,9,825
Aswan,Aswan,Syene,syriaca.org/place/4178,,,,,,6,,,,,,,,,6,825
Atropatene,Atropatene,,syriaca.org/place/4010,1,,,,,,,,,,,,,,1,825
Azakh,Azakh,Beth Zabdai,syriaca.org/place/287,,,,,,,,,,,,,,14,14,825
Babylon,Babylon,,syriaca.org/place/4011,1,,,,,,,8,9,,,,,,"1, 8, 9",825
Bactria,Bactria,Tokharistan,syriaca.org/place/4229,,,,,,,,,9,10,,,,,"9, 10",825
Badghis,Badghis,,syriaca.org/place/4231,,,,,,,,,9,10,,,,,"9, 10",825
Badlis,Badlis,Bitlis,syriaca.org/place/2283,,2,,,,,7,,,,,,,14,"2, 7, 14",825
Baghdad,Baghdad,,syriaca.org/place/41,,2,,,,,,8,9,,,,,,"2, 8, 9",825
Bahman-Ardashir,Bahman-Ardashir,Prat d-Maishan,syriaca.org/place/4203,,,,,,,,8,,,,,,,8,825
Baku,Baku,,syriaca.org/place/4063,,2,,,,,,,9,,,,,,"2, 9",825
Bala Murghab,Bala Murghab,Merv al-Rud,syriaca.org/place/4258,,,,,,,,,9,10,,,,,"9, 10",825
Balad,Balad,,syriaca.org/place/42,1,2,,,,,7,,,,,,,14,"1, 2, 7, 14",825
Balasaghun,Balasaghun,Burana,syriaca.org/place/4284,,,,,,,,,,10,,,,,10,825
Balikh River,Balikh River,,syriaca.org/place/4183,,,,,,,7,,,,,,,,7,825
Balinea,Balinea,Baniyas,syriaca.org/place/4101,1,,3,,,,,,,,,,,,"1, 3",825
Balkh,Balkh,,syriaca.org/place/4232,,,,,,,,,9,10,11,,,,"9, 10, 11",825
"Balkhash, Lake",Lake Balkhash,,syriaca.org/place/4303,,,,,,,,,,10,11,,,,"10, 11",825
Baniyas,Baniyas,Caesarea Philippi,syriaca.org/place/154,,2,,4,5,,,,,,,,,,"2, 4, 5",825
Baniyas,Baniyas,Balinea,syriaca.org/place/4101,,,3,,,,,,,,,,,,3,825
Bardhaʿa,Bardhaʿa,,syriaca.org/place/4064,,2,,,,,,,,,,,,,2,825
Barköl,Barköl,Ghinghintalas,syriaca.org/place/4339,,,,,,,,,,,11,,,,11,825
Barṭelle,Barṭelle,,syriaca.org/place/260,,,,,,,,,,,,,,14,14,825
Barwari Bala,Barwari Bala,,syriaca.org/place/254,,,,,,,,,,,,,,14,14,825
Bashawwat,Bashawwat,,syriaca.org/place/4110,,,,4,,,,,,,,,,,4,825
Başkale,Başkale,,syriaca.org/place/4449,,,,,,,,,,,,,,14,14,825
Baskinta,Baskinta,,syriaca.org/place/4111,,,,4,,,,,,,,,,,4,825
Batnae,Batnae,Serug,syriaca.org/place/48,,,,,,,7,,,,,,,,7,825
Baxʿa,Baxʿa,,syriaca.org/place/4112,,,,4,,,,,,,,,,,4,825
Bay of Aden,Bay of Aden,,syriaca.org/place/4149,,,,,,6,,,,,,,,,6,825
Bay of Bengal ,Bay of Bengal ,,syriaca.org/place/4341,,,,,,,,,,,11,12,,,"11, 12",825
Baylaqan,Baylaqan,Paydangaran,syriaca.org/place/4067,,2,,,,,,,9,,,,,,"2, 9",825
Baysan,Baysan,Scythopolis,syriaca.org/place/180,,2,,,5,,,,,,,,,,"2, 5",825
Baz,Baz,,syriaca.org/place/734,,,,,,,,,,,,,,14,14,825
Bazyan,Bazyan,,syriaca.org/place/4184,,,,,,,7,,,,,,,,7,825
Baʿalbak,Baʿalbak,Heliopolis,syriaca.org/place/577,,2,,4,,,,,,,,,,,"2, 4",825
Baʿquba,Baʿquba,,syriaca.org/place/4068,,2,,,,,,8,,,,,,,"2, 8",825
Beijing,Beijing,Khanbaliq,syriaca.org/place/2539,,,,,,,,,,,11,,,,11,825
Beirut,Beirut,Berytus,syriaca.org/place/46,,2,,4,,,,,,,,,,,"2, 4",825
Beqaa Valley,Beqaa Valley,,syriaca.org/place/4113,,,,4,,,,,,,,,,,4,825
Beroea,Beroea,Aleppo,syriaca.org/place/18,1,,3,,,,,,,,,,,,"1, 3",825
Berytus,Berytus,Beirut,syriaca.org/place/46,1,,,4,,,,,,,,,,,"1, 4",825
Besh-Baliq,Besh-Baliq,,syriaca.org/place/4283,,,,,,,,,,10,11,,,,"10, 11",825
Betanure,Betanure,,syriaca.org/place/4451,,,,,,,,,,,,,,14,14,825
Beth Aramaye,Beth Aramaye,,syriaca.org/place/717,1,2,,,,,,8,,,,,,,"1, 2, 8",825
Beth Bgash,Beth Bgash,,syriaca.org/place/580,,,,,,,,,,,,,,14,14,825
Beth Daraye,Beth Daraye,,syriaca.org/place/4013,1,2,,,,,,8,,,,,,,"1, 2, 8",825
Beth Daron,Beth Daron,,syriaca.org/place/2274,,,,,,,,8,,,,,,,8,825
Beth Dasen,Beth Dasen,,syriaca.org/place/738 ,,,,,,,,,,,,,,14,14,825
Beth Garmai,Beth Garmai,,syriaca.org/place/33,1,2,,,,,7,8,,,,,,,"1, 2, 7, 8",825
